
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,26-350,DET,,STL,W 27-23,7,6,111,18.50,0,0,0
2,2,2012-09-16,26-357,DET,@,SFO,L 19-27,12,8,94,11.75,0,0,0
3,3,2012-09-23,26-364,DET,@,TEN,L 41-44,12,10,164,16.40,1,1,6
4,4,2012-09-30,27-005,DET,,MIN,L 13-20,12,5,54,10.80,0,0,0
5,5,2012-10-14,27-019,DET,@,PHI,W 26-23,13,6,135,22.50,0,0,0
6,6,2012-10-22,27-027,DET,@,CHI,L 7-13,11,3,34,11.33,0,0,0
7,7,2012-10-28,27-033,DET,,SEA,W 28-24,8,3,46,15.33,0,0,0
8,8,2012-11-04,27-040,DET,@,JAX,W 31-14,8,7,129,18.43,0,0,0
9,9,2012-11-11,27-047,DET,@,MIN,L 24-34,13,12,207,17.25,1,1,6
10,10,2012-11-18,27-054,DET,,GNB,L 20-24,11,5,143,28.60,1,1,6
11,11,2012-11-22,27-058,DET,,HOU,L 31-34,17,8,140,17.50,1,1,6
12,12,2012-12-02,27-068,DET,,IND,L 33-35,20,13,171,13.15,1,1,6
13,13,2012-12-09,27-075,DET,@,GNB,L 20-27,13,10,118,11.80,0,0,0
14,14,2012-12-16,27-082,DET,@,ARI,L 10-38,17,10,121,12.10,0,0,0
15,15,2012-12-22,27-088,DET,,ATL,L 18-31,16,11,225,20.45,0,0,0
16,16,2012-12-30,27-096,DET,,CHI,L 24-26,14,5,72,14.40,0,0,0
,,16 Games,,,,,4-12-0,204,122,1964,16.10,5,5,30
