
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2014-09-07,25-116,NWE,@,MIA,L 20-33,11,4,40,10.00,1,1,6
2,2,2014-09-14,25-123,NWE,@,MIN,W 30-7,6,4,32,8.00,0,0,0
3,3,2014-09-21,25-130,NWE,,OAK,W 16-9,6,3,44,14.67,1,1,6
4,4,2014-09-29,25-138,NWE,@,KAN,L 14-41,3,2,31,15.50,1,1,6
5,5,2014-10-05,25-144,NWE,,CIN,W 43-17,11,6,100,16.67,1,1,6
6,6,2014-10-12,25-151,NWE,@,BUF,W 37-22,9,7,94,13.43,0,0,0
7,7,2014-10-16,25-155,NWE,,NYJ,W 27-25,10,5,68,13.60,0,0,0
8,8,2014-10-26,25-165,NWE,,CHI,W 51-23,9,9,149,16.56,3,3,18
9,9,2014-11-02,25-172,NWE,,DEN,W 43-21,10,9,105,11.67,1,1,6
10,10,2014-11-16,25-186,NWE,@,IND,W 42-20,5,4,71,17.75,1,1,6
11,11,2014-11-23,25-193,NWE,,DET,W 34-9,10,5,78,15.60,0,0,0
12,12,2014-11-30,25-200,NWE,@,GNB,L 21-26,12,7,98,14.00,0,0,0
13,13,2014-12-07,25-207,NWE,@,SDG,W 23-14,11,8,87,10.88,1,1,6
14,14,2014-12-14,25-214,NWE,,MIA,W 41-13,8,3,96,32.00,1,1,6
15,15,2014-12-21,25-221,NWE,@,NYJ,W 17-16,10,6,31,5.17,1,1,6
,,15 Games,,,,,12-3-0,131,82,1124,13.71,12,12,72
