
No.,,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
12,Tom Brady*,36,QB,16,16,12-4-0,380,628,60.5,4343,25,4.0,11,1.8,81,6.9,6.9,11.4,271.4,87.3,61.09,40,256,6.12,6.13,6.0,5,5
,Team Total,25.8,,16,,12-4-0,380,628,60.5,4343,25,4.0,11,1.8,81,6.9,6.9,11.4,271.4,87.3,,40,256,6.12,6.13,6.0,5,5
,Opp Total,,,16,,,336,589,57.0,4137,25,4.2,17,2.9,,7.0,6.57,12.3,258.6,81.0,,48,313,6.0,5.6,7.5,,
