
No.,,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
12,Tom Brady*,34,QB,16,16,13-3-0,401,611,65.6,5235,39,6.4,12,2.0,99,8.6,9.0,13.1,327.2,105.6,72.96,32,173,7.87,8.25,5.0,2,3
8,Brian Hoyer,26,,3,0,,1,1,100.0,22,0,0.0,0,0.0,22,22.0,22.0,22.0,7.3,118.7,96.35,0,0,22.00,22.00,0.0,,
,Team Total,26.3,,16,,13-3-0,402,612,65.7,5257,39,6.4,12,2.0,99,8.6,9.0,13.1,328.6,105.7,,32,173,7.89,8.27,5.0,2,3
,Opp Total,,,16,,,386,619,62.4,4977,26,4.2,23,3.7,,8.0,7.21,12.9,311.1,86.1,,40,274,7.1,6.4,6.1,,
