
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-04,24-232,SEA,,GNB,W 36-16,1,1,1,1.00,0,0,0,,0,0,0,0.0,0,0
2,2,2014-09-14,24-242,SEA,@,SDG,L 21-30,,0,0,,0,2,17,8.50,0,0,0,0.0,0,0
3,3,2014-09-21,24-249,SEA,,DEN,W 26-20,,,,,,,,,,,,,,
4,4,2014-10-06,24-264,SEA,@,WAS,W 27-17,4,3,28,9.33,0,1,20,20.00,0,0,0,0.0,0,0
5,5,2014-10-12,24-270,SEA,,DAL,L 23-30,6,2,11,5.50,0,0,0,,0,0,0,0.0,1,0
6,7,2014-10-26,24-284,SEA,@,CAR,W 13-9,4,1,23,23.00,1,0,0,,0,1,6,0.0,1,0
7,8,2014-11-02,24-291,SEA,,OAK,W 30-24,5,1,16,16.00,0,0,0,,0,0,0,0.0,0,0
8,9,2014-11-09,24-298,SEA,,NYG,W 38-17,,,,,,,,,,,,,,
9,10,2014-11-16,24-305,SEA,@,KAN,L 20-24,3,3,51,17.00,0,0,0,,0,0,0,0.0,0,0
10,11,2014-11-23,24-312,SEA,,ARI,W 19-3,1,1,21,21.00,0,0,0,,0,0,0,0.0,0,0
11,12,2014-11-27,24-316,SEA,@,SFO,W 19-3,6,4,39,9.75,0,0,0,,0,0,0,0.0,0,0
12,13,2014-12-07,24-326,SEA,@,PHI,W 24-14,2,1,1,1.00,0,0,0,,0,0,0,0.0,1,0
13,14,2014-12-14,24-333,SEA,,SFO,W 17-7,1,0,0,,0,0,0,,0,0,0,0.0,0,0
14,15,2014-12-21,24-340,SEA,@,ARI,W 35-6,3,3,139,46.33,2,0,0,,0,2,12,0.0,0,0
15,16,2014-12-28,24-347,SEA,,STL,W 20-6,4,2,32,16.00,0,0,0,,0,0,0,0.0,1,0
,,15 Games,,,,,12-3-0,40,22,362,16.45,3,3,37,12.33,0,3,18,0.0,4,0
