
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1,2012-09-09,23-285,SEA,@,ARI,L 16-20,*,18,34,52.94,153,1,1,62.5,4.50,3.76,8,20,2.50,0,0,0
2,2,2012-09-16,23-292,SEA,,DAL,W 27-7,*,15,20,75.00,151,1,0,112.7,7.55,8.55,4,28,7.00,0,0,0
3,3,2012-09-24,23-300,SEA,,GNB,W 14-12,*,10,21,47.62,130,2,0,99.3,6.19,8.10,3,18,6.00,0,0,0
4,4,2012-09-30,23-306,SEA,@,STL,L 13-19,*,17,25,68.00,160,0,3,45.8,6.40,1.00,7,14,2.00,0,0,0
5,5,2012-10-07,23-313,SEA,@,CAR,W 16-12,*,19,25,76.00,221,1,2,82.2,8.84,6.04,5,12,2.40,0,0,0
6,6,2012-10-14,23-320,SEA,,NWE,W 24-23,*,16,27,59.26,293,3,0,133.7,10.85,13.07,5,17,3.40,0,0,0
7,7,2012-10-18,23-324,SEA,@,SFO,L 6-13,*,9,23,39.13,122,0,1,38.7,5.30,3.35,3,10,3.33,0,0,0
8,8,2012-10-28,23-334,SEA,@,DET,L 24-28,*,25,35,71.43,236,2,1,96.8,6.74,6.60,1,9,9.00,0,0,0
9,9,2012-11-04,23-341,SEA,,MIN,W 30-20,*,16,24,66.67,173,3,0,127.3,7.21,9.71,9,27,3.00,0,0,0
10,10,2012-11-11,23-348,SEA,,NYJ,W 28-7,*,12,19,63.16,188,2,0,131.0,9.89,12.00,7,34,4.86,0,0,0
11,11,2012-11-25,23-362,SEA,@,MIA,L 21-24,*,21,27,77.78,224,2,0,125.9,8.30,9.78,5,38,7.60,0,0,0
12,12,2012-12-02,24-003,SEA,@,CHI,W 23-17,*,23,37,62.16,293,2,0,104.9,7.92,9.00,9,71,7.89,0,0,0
13,13,2012-12-09,24-010,SEA,,ARI,W 58-0,*,7,13,53.85,148,1,1,88.0,11.38,9.46,3,12,4.00,0,0,0
14,14,2012-12-16,24-017,SEA,@,BUF,W 50-17,*,14,23,60.87,205,1,0,104.4,8.91,9.78,9,92,10.22,3,3,18
15,15,2012-12-23,24-024,SEA,,SFO,W 42-13,*,15,21,71.43,171,4,1,115.3,8.14,9.81,6,29,4.83,0,0,0
16,16,2012-12-30,24-031,SEA,,STL,W 20-13,*,15,19,78.95,250,1,0,136.3,13.16,14.21,10,58,5.80,1,1,6
,,16 Games,,,,,11-5-0,,252,393,64.12,3118,26,10,100.0,7.93,8.11,94,489,5.20,4,4,24
