
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,25-142,SEA,@,SFO,L 17-33,13,33,2.54,0,2,2,14,7.00,0,0,0,,0,0,0,,,,0,0,0.0,1,0
2,2,2011-09-18,25-149,SEA,@,PIT,L 0-24,6,11,1.83,0,2,1,1,1.00,0,0,0,,0,0,0,,,,0,0,0.0,0,0
3,3,2011-09-25,25-156,SEA,,ARI,W 13-10,19,73,3.84,0,3,1,2,2.00,0,0,0,,0,0,0,,,,0,0,0.0,0,0
4,4,2011-10-02,25-163,SEA,,ATL,L 28-30,8,24,3.00,1,4,3,33,11.00,0,0,0,,0,0,0,,,,1,6,0.0,0,0
5,5,2011-10-09,25-170,SEA,@,NYG,W 36-25,12,98,8.17,1,6,4,33,8.25,0,0,0,,0,0,0,,,,1,6,0.0,1,0
6,7,2011-10-30,25-191,SEA,,CIN,L 12-34,16,24,1.50,1,0,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
7,8,2011-11-06,25-198,SEA,@,DAL,L 13-23,23,135,5.87,1,2,1,8,8.00,0,0,0,,0,0,0,,,,1,6,0.0,0,0
8,9,2011-11-13,25-205,SEA,,BAL,W 22-17,32,109,3.41,1,7,5,58,11.60,0,0,0,,0,0,0,,,,1,6,0.0,0,0
9,10,2011-11-20,25-212,SEA,@,STL,W 24-7,27,88,3.26,1,2,2,1,0.50,0,0,0,,0,0,0,,,,1,6,0.0,0,0
10,11,2011-11-27,25-219,SEA,,WAS,L 17-23,24,111,4.63,0,3,1,20,20.00,1,0,0,,0,0,0,,,,1,6,0.0,0,0
11,12,2011-12-01,25-223,SEA,,PHI,W 31-14,22,148,6.73,2,0,0,0,,0,0,0,,0,0,0,,,,2,12,0.0,0,0
12,13,2011-12-12,25-234,SEA,,STL,W 30-13,23,115,5.00,1,2,2,8,4.00,0,0,2,0.00,0,0,0,39.6,0.00,0.00,1,6,0.0,0,0
13,14,2011-12-18,25-240,SEA,@,CHI,W 38-14,20,42,2.10,2,2,2,5,2.50,0,0,0,,0,0,0,,,,2,12,0.0,0,0
14,15,2011-12-24,25-246,SEA,,SFO,L 17-19,21,107,5.10,1,2,2,24,12.00,0,0,0,,0,0,0,,,,1,6,0.0,0,0
15,16,2012-01-01,25-254,SEA,@,ARI,L 20-23,19,86,4.53,0,4,2,5,2.50,0,0,0,,0,0,0,,,,0,0,0.0,0,0
,,15 Games,,,,,7-8-0,285,1204,4.22,12,41,28,212,7.57,1,0,2,0.00,0,0,0,39.6,0.00,0.00,13,78,0.0,2,0
