
No.,,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
14,Andy Dalton*,27,QB,16,16,10-5-1,309,481,64.2,3398,19,4.0,17,3.5,81,7.1,6.3,11.0,212.4,83.5,55.21,21,124,6.52,5.75,4.2,4,3
17,Jason Campbell,33,,4,0,,11,19,57.9,74,0,0.0,0,0.0,38,3.9,3.9,6.7,18.5,66.6,5.8,1,0,3.70,3.70,5.0,,
12,Mohamed Sanu,25,WR,16,13,,3,3,100.0,79,1,33.3,0,0.0,50,26.3,33.0,26.3,4.9,158.3,98.76,1,6,18.25,23.25,25.0,,
,Team Total,25.7,,16,,10-5-1,323,503,64.2,3551,20,4.0,17,3.4,81,7.1,6.3,11.0,221.9,84.2,,23,130,6.50,5.81,4.4,4,3
,Opp Total,,,16,,,365,608,60.0,4013,18,3.0,20,3.3,,6.6,5.71,11.0,250.8,75.8,,20,125,6.2,5.3,3.2,,
