
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,21-322,CIN,@,BAL,W 23-16,4,19,4.75,0,0,0,0,,0,0,0,0.0,0,0
2,2,2014-09-14,21-329,CIN,,ATL,W 24-10,15,74,4.93,1,2,2,22,11.00,0,1,6,0.0,0,0
3,3,2014-09-21,21-336,CIN,,TEN,W 33-7,7,39,5.57,1,0,0,0,,0,1,6,0.0,0,0
4,4,2014-10-05,21-350,CIN,@,NWE,L 17-43,2,1,0.50,0,4,3,68,22.67,0,0,0,0.0,0,0
5,5,2014-10-12,21-357,CIN,,CAR,T 37-37,8,22,2.75,1,4,4,13,3.25,0,1,6,0.0,0,0
6,6,2014-10-19,21-364,CIN,@,IND,L 0-27,4,15,3.75,0,1,0,0,,0,0,0,0.0,0,0
7,7,2014-10-26,22-006,CIN,,BAL,W 27-24,10,25,2.50,0,4,4,28,7.00,0,0,0,0.0,1,0
8,8,2014-11-02,22-013,CIN,,JAX,W 33-23,24,154,6.42,2,1,1,9,9.00,0,2,12,0.0,0,0
9,9,2014-11-06,22-017,CIN,,CLE,L 3-24,12,55,4.58,0,2,1,6,6.00,0,0,0,0.0,2,0
10,10,2014-11-16,22-027,CIN,@,NOR,W 27-10,27,152,5.63,0,1,1,13,13.00,0,0,0,0.0,0,0
11,11,2014-11-23,22-034,CIN,@,HOU,W 22-13,18,87,4.83,1,1,1,9,9.00,0,1,6,0.0,0,0
12,12,2014-11-30,22-041,CIN,@,TAM,W 14-13,13,40,3.08,0,4,4,12,3.00,0,0,0,0.0,0,0
13,13,2014-12-07,22-048,CIN,,PIT,L 21-42,8,46,5.75,0,4,3,21,7.00,0,0,0,0.0,1,0
14,14,2014-12-14,22-055,CIN,@,CLE,W 30-0,25,148,5.92,2,1,1,4,4.00,0,2,12,0.0,0,0
15,15,2014-12-22,22-063,CIN,,DEN,W 37-28,22,147,6.68,1,0,0,0,,0,1,6,0.0,1,0
16,16,2014-12-28,22-069,CIN,@,PIT,L 17-27,23,100,4.35,0,3,2,10,5.00,0,0,0,0.0,0,0
,,16 Games,,,,,10-5-1,222,1124,5.06,9,32,27,215,7.96,0,9,54,0.0,5,0
