
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,23-087,CIN,@,CLE,W 27-17,8,6,58,9.67,1,1,6,0.0,0,0
2,2,2011-09-18,23-094,CIN,@,DEN,L 22-24,5,2,8,4.00,0,0,0,0.0,0,0
3,3,2011-09-25,23-101,CIN,,SFO,L 8-13,8,4,51,12.75,0,0,0,0.0,0,0
4,4,2011-10-02,23-108,CIN,,BUF,W 23-20,7,4,70,17.50,1,1,6,0.0,0,0
5,5,2011-10-09,23-115,CIN,@,JAX,W 30-20,7,5,21,4.20,1,1,6,0.0,0,0
6,6,2011-10-16,23-122,CIN,,IND,W 27-17,6,4,23,5.75,0,0,0,0.0,0,0
7,9,2011-11-13,23-150,CIN,,PIT,L 17-24,5,4,23,5.75,1,1,6,0.0,0,0
8,10,2011-11-20,23-157,CIN,@,BAL,L 24-31,6,3,48,16.00,0,0,0,0.0,0,0
9,11,2011-11-27,23-164,CIN,,CLE,W 23-20,9,5,68,13.60,1,1,6,0.0,0,0
10,12,2011-12-04,23-171,CIN,@,PIT,L 7-35,7,3,37,12.33,0,0,0,0.0,0,0
11,13,2011-12-11,23-178,CIN,,HOU,L 19-20,7,3,45,15.00,0,0,0,0.0,0,0
12,14,2011-12-18,23-185,CIN,@,STL,W 20-13,5,3,16,5.33,0,0,0,0.0,0,0
13,15,2011-12-24,23-191,CIN,,ARI,W 23-16,7,5,56,11.20,1,1,6,0.0,1,0
14,16,2012-01-01,23-199,CIN,,BAL,L 16-24,5,5,72,14.40,0,0,0,0.0,0,0
,,14 Games,,,,,7-7-0,92,56,596,10.64,6,6,36,0.0,1,0
