
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts
1,1,2012-09-10,24-041,CIN,@,BAL,L 13-44,11,5,70,14.00,0,0,0,,0,0,0
2,2,2012-09-16,24-047,CIN,,CLE,W 34-27,12,7,58,8.29,1,0,0,,0,1,6
3,3,2012-09-23,24-054,CIN,@,WAS,W 38-31,11,9,183,20.33,1,1,11,11.00,0,1,6
4,4,2012-09-30,24-061,CIN,@,JAX,W 27-10,9,6,117,19.50,1,0,0,,0,1,6
5,5,2012-10-07,24-068,CIN,,MIA,L 13-17,13,9,65,7.22,1,0,0,,0,1,6
6,6,2012-10-14,24-075,CIN,@,CLE,L 24-34,11,7,135,19.29,2,0,0,,0,2,12
7,7,2012-10-21,24-082,CIN,,PIT,L 17-24,6,1,8,8.00,1,0,0,,0,1,6
8,8,2012-11-04,24-096,CIN,,DEN,L 23-31,9,7,99,14.14,1,1,6,6.00,0,1,6
9,9,2012-11-11,24-103,CIN,,NYG,W 31-13,10,7,85,12.14,1,0,0,,0,1,6
10,10,2012-11-18,24-110,CIN,@,KAN,W 28-6,12,6,91,15.17,1,0,0,,0,1,6
11,11,2012-11-25,24-117,CIN,,OAK,W 34-10,9,3,111,37.00,0,2,21,10.50,0,0,0
12,12,2012-12-02,24-124,CIN,@,SDG,W 20-13,13,9,85,9.44,0,0,0,,0,0,0
13,13,2012-12-09,24-131,CIN,,DAL,L 19-20,8,3,44,14.67,0,0,0,,0,0,0
14,14,2012-12-13,24-135,CIN,@,PHI,W 34-13,10,6,57,9.50,1,0,0,,0,1,6
15,15,2012-12-23,24-145,CIN,@,PIT,W 13-10,18,10,116,11.60,0,0,0,,0,0,0
16,16,2012-12-30,24-152,CIN,,BAL,W 23-17,2,2,26,13.00,0,0,0,,0,0,0
,,16 Games,,,,,10-6-0,164,97,1350,13.92,11,4,38,9.50,0,11,66
