
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,28-257,CIN,@,CLE,W 27-17,25,121,4.84,1,1,1,2,2.00,0,1,6,0.0,0,0
2,2,2011-09-18,28-264,CIN,@,DEN,L 22-24,16,59,3.69,0,3,3,17,5.67,0,0,0,0.0,0,0
3,3,2011-09-25,28-271,CIN,,SFO,L 8-13,17,64,3.76,0,1,0,0,,0,0,0,0.0,0,0
4,4,2011-10-02,28-278,CIN,,BUF,W 23-20,19,104,5.47,0,1,0,0,,0,0,0,0.0,0,0
5,5,2011-10-09,28-285,CIN,@,JAX,W 30-20,24,53,2.21,0,0,0,0,,0,0,0,0.0,0,0
6,6,2011-10-16,28-292,CIN,,IND,W 27-17,16,57,3.56,1,1,1,5,5.00,0,1,6,0.0,0,0
7,8,2011-11-06,28-313,CIN,@,TEN,W 24-17,20,78,3.90,0,0,0,0,,0,0,0,0.0,0,0
8,9,2011-11-13,28-320,CIN,,PIT,L 17-24,15,57,3.80,0,1,1,5,5.00,0,0,0,0.0,0,1
9,10,2011-11-20,28-327,CIN,@,BAL,L 24-31,15,41,2.73,2,1,0,0,,0,2,12,0.0,1,0
10,11,2011-11-27,28-334,CIN,,CLE,W 23-20,21,106,5.05,1,5,4,24,6.00,0,1,6,0.0,0,0
11,12,2011-12-04,28-341,CIN,@,PIT,L 7-35,13,52,4.00,0,0,0,0,,0,0,0,0.0,0,0
12,13,2011-12-11,28-348,CIN,,HOU,L 19-20,21,91,4.33,0,1,1,0,0.00,0,0,0,0.0,0,0
13,14,2011-12-18,28-355,CIN,@,STL,W 20-13,22,76,3.45,1,2,1,11,11.00,0,1,6,0.0,0,0
14,15,2011-12-24,28-361,CIN,,ARI,W 23-16,16,57,3.56,0,2,1,8,8.00,0,0,0,0.0,0,0
15,16,2012-01-01,29-004,CIN,,BAL,L 16-24,13,51,3.92,0,3,2,10,5.00,0,0,0,0.0,0,0
,,15 Games,,,,,8-7-0,273,1067,3.91,6,22,15,82,5.47,0,6,36,0.0,1,1
