
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,22-289,CIN,@,BAL,W 23-16,14,48,3.43,0,10,6,62,10.33,0,0,0,0.0,0,0
2,2,2014-09-14,22-296,CIN,,ATL,W 24-10,27,90,3.33,1,6,5,79,15.80,0,1,6,0.0,0,0
3,3,2014-09-21,22-303,CIN,,TEN,W 33-7,14,47,3.36,2,3,1,7,7.00,0,2,12,0.0,0,0
4,4,2014-10-05,22-317,CIN,@,NWE,L 17-43,13,62,4.77,0,3,2,10,5.00,0,0,0,0.0,1,0
5,5,2014-10-12,22-324,CIN,,CAR,T 37-37,18,137,7.61,1,5,4,20,5.00,0,1,6,0.0,0,0
6,6,2014-10-19,22-331,CIN,@,IND,L 0-27,7,17,2.43,0,5,2,-1,-0.50,0,0,0,0.0,0,0
7,7,2014-10-26,22-338,CIN,,BAL,W 27-24,16,45,2.81,1,2,2,2,1.00,0,1,6,0.0,0,0
8,11,2014-11-23,23-001,CIN,@,HOU,W 22-13,17,45,2.65,0,3,2,22,11.00,0,0,0,0.0,0,0
9,12,2014-11-30,23-008,CIN,@,TAM,W 14-13,10,49,4.90,0,1,1,4,4.00,0,0,0,0.0,1,0
10,13,2014-12-07,23-015,CIN,,PIT,L 21-42,6,17,2.83,0,5,3,19,6.33,0,0,0,0.0,0,0
11,14,2014-12-14,23-022,CIN,@,CLE,W 30-0,15,79,5.27,0,3,3,24,8.00,0,0,0,0.0,0,0
12,15,2014-12-22,23-030,CIN,,DEN,W 37-28,8,36,4.50,0,5,5,45,9.00,1,1,6,0.0,0,0
13,16,2014-12-28,23-036,CIN,@,PIT,L 17-27,3,8,2.67,0,8,7,56,8.00,1,1,6,0.0,0,0
,,13 Games,,,,,8-4-1,168,680,4.05,5,59,43,349,8.12,2,7,42,0.0,2,0
