
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,23-042,CIN,@,CLE,W 27-17,4,1,41,41.00,1,0,0,,0,1,6,0.0,0,0
2,2,2011-09-18,23-049,CIN,@,DEN,L 22-24,14,10,124,12.40,1,0,0,,0,1,6,0.0,0,0
3,3,2011-09-25,23-056,CIN,,SFO,L 8-13,5,4,29,7.25,0,0,0,,0,0,0,0.0,0,0
4,4,2011-10-02,23-063,CIN,,BUF,W 23-20,10,4,118,29.50,0,1,6,6.00,0,0,0,0.0,0,0
5,5,2011-10-09,23-070,CIN,@,JAX,W 30-20,8,5,90,18.00,1,0,0,,0,1,6,0.0,0,0
6,6,2011-10-16,23-077,CIN,,IND,W 27-17,7,5,51,10.20,1,0,0,,0,1,6,0.0,0,0
7,7,2011-10-30,23-091,CIN,@,SEA,W 34-12,10,4,63,15.75,1,0,0,,0,1,6,0.0,1,0
8,8,2011-11-06,23-098,CIN,@,TEN,W 24-17,7,7,83,11.86,0,0,0,,0,0,0,0.0,0,0
9,9,2011-11-13,23-105,CIN,,PIT,L 17-24,2,1,36,36.00,1,1,7,7.00,0,1,6,0.0,0,0
10,11,2011-11-27,23-119,CIN,,CLE,W 23-20,4,3,110,36.67,0,0,0,,0,0,0,0.0,0,0
11,12,2011-12-04,23-126,CIN,@,PIT,L 7-35,11,6,87,14.50,1,1,15,15.00,0,1,6,0.0,1,0
12,13,2011-12-11,23-133,CIN,,HOU,L 19-20,7,5,59,11.80,0,0,0,,0,0,0,0.0,0,0
13,14,2011-12-18,23-140,CIN,@,STL,W 20-13,9,6,115,19.17,0,0,0,,0,0,0,0.0,0,0
14,15,2011-12-24,23-146,CIN,,ARI,W 23-16,8,2,25,12.50,0,2,25,12.50,0,0,0,0.0,0,0
15,16,2012-01-01,23-154,CIN,,BAL,L 16-24,9,2,26,13.00,0,0,0,,0,0,0,0.0,0,0
,,15 Games,,,,,9-6-0,115,65,1057,16.26,7,5,53,10.60,0,7,42,0.0,2,0
