
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,23-180,CIN,@,CHI,L 21-24,2,1,7,7.00,0,1,14,14.00,0,0,0,0.0,0,0
2,2,2013-09-16,23-188,CIN,,PIT,W 20-10,4,3,35,11.67,0,0,0,,0,0,0,0.0,0,0
3,3,2013-09-22,23-194,CIN,,GNB,W 34-30,4,3,38,12.67,1,0,0,,0,1,6,0.0,0,0
4,4,2013-09-29,23-201,CIN,@,CLE,L 6-17,3,0,0,,0,0,0,,0,0,0,0.0,0,0
5,5,2013-10-06,23-208,CIN,,NWE,W 13-6,2,2,39,19.50,0,1,8,8.00,0,0,0,0.0,1,1
6,6,2013-10-13,23-215,CIN,@,BUF,W 27-24,5,3,71,23.67,1,1,34,34.00,0,1,6,0.0,1,0
7,7,2013-10-20,23-222,CIN,@,DET,W 27-24,6,4,57,14.25,1,0,0,,0,1,6,0.0,0,0
8,8,2013-10-27,23-229,CIN,,NYJ,W 49-9,8,8,122,15.25,4,0,0,,0,4,24,0.0,0,0
9,9,2013-10-31,23-233,CIN,@,MIA,L 20-22,7,4,66,16.50,0,0,0,,0,0,0,0.0,0,0
10,10,2013-11-10,23-243,CIN,@,BAL,L 17-20,7,1,2,2.00,0,1,7,7.00,0,0,0,0.0,1,0
11,11,2013-11-17,23-250,CIN,,CLE,W 41-20,2,1,9,9.00,0,1,-1,-1.00,0,0,0,0.0,0,0
12,12,2013-12-01,23-264,CIN,@,SDG,W 17-10,3,2,12,6.00,0,0,0,,0,0,0,0.0,0,0
13,13,2013-12-08,23-271,CIN,,IND,W 42-28,4,3,60,20.00,1,1,-3,-3.00,0,1,6,0.0,0,0
14,14,2013-12-15,23-278,CIN,@,PIT,L 20-30,9,5,48,9.60,1,0,0,,0,1,6,0.0,0,0
15,15,2013-12-22,23-285,CIN,,MIN,W 42-14,7,6,85,14.17,0,2,6,3.00,0,0,0,0.0,0,0
16,16,2013-12-29,23-292,CIN,,BAL,W 34-17,7,5,61,12.20,1,0,0,,0,1,6,0.0,1,0
,,16 Games,,,,,11-5-0,80,51,712,13.96,10,8,65,8.13,0,10,60,0.0,4,1
