
No.,,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
14,Andy Dalton,26,QB,16,16,11-5-0,363,586,61.9,4293,33,5.6,20,3.4,82,7.3,6.9,11.8,268.3,88.8,55.83,29,182,6.68,6.29,4.7,0,3
12,Mohamed Sanu,24,WR,16,14,,1,1,100.0,25,0,0.0,0,0.0,25,25.0,25.0,25.0,1.6,118.7,95.61,0,0,25.00,25.00,0.0,,
,Team Total,25.9,,16,,11-5-0,364,587,62.0,4318,33,5.6,20,3.4,82,7.4,6.9,11.9,269.9,89.0,,29,182,6.71,6.32,4.7,0,3
,Opp Total,,,16,,,362,614,59.0,3623,22,3.6,20,3.3,,5.9,5.15,10.0,226.4,74.2,,43,279,5.1,4.4,6.5,,
