
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,27-170,CAR,@,TAM,W 20-14,9,20,2.22,0,3,3,17,5.67,0,0,0,0.0,0,0
2,2,2014-09-14,27-177,CAR,,DET,W 24-7,15,37,2.47,1,1,1,22,22.00,0,1,6,0.0,0,0
3,3,2014-09-21,27-184,CAR,,PIT,L 19-37,5,31,6.20,0,3,3,19,6.33,0,0,0,0.0,0,0
4,7,2014-10-19,27-212,CAR,@,GNB,L 17-38,13,50,3.85,0,2,1,12,12.00,0,0,0,0.0,0,0
5,8,2014-10-26,27-219,CAR,,SEA,L 9-13,16,79,4.94,0,5,3,15,5.00,0,0,0,0.0,0,0
6,9,2014-10-30,27-223,CAR,,NOR,L 10-28,8,46,5.75,0,0,0,0,,0,0,0,0.0,0,0
7,10,2014-11-10,27-234,CAR,@,PHI,L 21-45,11,36,3.27,1,4,4,23,5.75,0,1,6,0.0,1,0
8,11,2014-11-16,27-240,CAR,,ATL,L 17-19,7,24,3.43,0,3,3,15,5.00,0,0,0,0.0,0,0
9,12,2014-11-30,27-254,CAR,@,MIN,L 13-31,12,85,7.08,0,2,2,25,12.50,0,0,0,0.0,0,0
10,13,2014-12-07,27-261,CAR,@,NOR,W 41-10,20,155,7.75,1,1,0,0,,0,1,6,0.0,0,0
11,14,2014-12-14,27-268,CAR,,TAM,W 19-17,22,75,3.41,0,1,1,6,6.00,0,0,0,0.0,0,0
12,15,2014-12-21,27-275,CAR,,CLE,W 17-13,24,122,5.08,0,4,2,7,3.50,1,1,6,0.0,0,0
13,16,2014-12-28,27-282,CAR,@,ATL,W 34-3,13,49,3.77,0,2,2,20,10.00,0,0,0,0.0,0,0
,,13 Games,,,,,6-7-0,175,809,4.62,3,31,25,181,7.24,1,4,24,0.0,1,0
