
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1,2014-09-07,31-084,CAR,@,TAM,W 20-14,*,24,34,70.59,230,2,0,108.7,6.76,7.94,3,10,3.33,0
2,3,2014-09-21,31-098,CAR,,PIT,L 19-37,,5,6,83.33,80,1,0,158.3,13.33,16.67,0,0,,0
3,4,2014-09-28,31-105,CAR,@,BAL,L 10-38,,6,9,66.67,71,0,0,90.5,7.89,7.89,0,0,,0
4,7,2014-10-19,31-126,CAR,@,GNB,L 17-38,,5,8,62.50,43,1,0,116.1,5.38,7.88,0,0,,0
5,13,2014-12-07,31-175,CAR,@,NOR,W 41-10,,,,,,,,,,,,,,
6,14,2014-12-14,31-182,CAR,,TAM,W 19-17,*,25,40,62.50,277,1,0,91.4,6.93,7.43,5,14,2.80,0
,,6 Games,,,,,3-3-0,,65,97,67.01,701,5,0,105.2,7.23,8.26,8,24,3.00,0
