
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,27-182,CAR,@,TAM,L 10-16,7,6,56,9.33,0,0,0
2,2,2012-09-16,27-189,CAR,,NOR,W 35-27,3,1,13,13.00,0,0,0
3,3,2012-09-20,27-193,CAR,,NYG,L 7-36,14,7,98,14.00,0,0,0
4,4,2012-09-30,27-203,CAR,@,ATL,L 28-30,7,6,89,14.83,1,1,6
5,5,2012-10-07,27-210,CAR,,SEA,L 12-16,3,2,37,18.50,0,0,0
6,6,2012-10-21,27-224,CAR,,DAL,L 14-19,5,4,31,7.75,0,0,0
7,7,2012-10-28,27-231,CAR,@,CHI,L 22-23,5,3,23,7.67,0,0,0
8,8,2012-11-04,27-238,CAR,@,WAS,W 21-13,9,5,48,9.60,0,0,0
9,9,2012-11-11,27-245,CAR,,DEN,L 14-36,10,9,102,11.33,2,2,12
10,10,2012-11-18,27-252,CAR,,TAM,L 21-27,6,2,42,21.00,0,0,0
11,11,2012-11-26,27-260,CAR,@,PHI,W 30-22,5,4,50,12.50,0,0,0
12,12,2012-12-02,27-266,CAR,@,KAN,L 21-27,4,1,47,47.00,1,1,6
13,13,2012-12-09,27-273,CAR,,ATL,W 30-20,5,4,55,13.75,1,1,6
14,14,2012-12-16,27-280,CAR,@,SDG,W 31-7,9,5,56,11.20,0,0,0
15,15,2012-12-23,27-287,CAR,,OAK,W 17-6,7,6,53,8.83,0,0,0
16,16,2012-12-30,27-294,CAR,@,NOR,W 44-38,5,4,43,10.75,0,0,0
,,16 Games,,,,,7-9-0,104,69,843,12.22,5,5,30
