
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,26-308,CAR,,SEA,L 7-12,,,,,,,,,,,,,,,,,,
2,2,2013-09-15,26-315,CAR,@,BUF,L 23-24,6,4,13,3.25,0,0,0,,0,0,0,,0,0,0,0.0,0,0
3,3,2013-09-22,26-322,CAR,,NYG,W 38-0,5,3,53,17.67,2,0,0,,0,0,0,,0,2,12,0.0,1,0
4,4,2013-10-06,26-336,CAR,@,ARI,L 6-22,9,4,47,11.75,0,0,0,,0,0,0,,0,0,0,0.0,0,0
5,5,2013-10-13,26-343,CAR,@,MIN,W 35-10,4,4,107,26.75,1,1,9,9.00,0,0,0,,0,1,6,0.0,0,0
6,6,2013-10-20,26-350,CAR,,STL,W 30-15,4,3,35,11.67,0,0,0,,0,0,0,,0,0,0,0.0,0,0
7,7,2013-10-24,26-354,CAR,@,TAM,W 31-13,5,3,23,7.67,0,0,0,,0,0,0,,0,0,0,0.0,0,0
8,8,2013-11-03,26-364,CAR,,ATL,W 34-10,9,6,74,12.33,0,0,0,,0,0,0,,0,0,0,0.0,0,0
9,9,2013-11-10,27-006,CAR,@,SFO,W 10-9,8,4,48,12.00,0,0,0,,0,1,0,0.00,0,0,0,0.0,1,0
10,10,2013-11-18,27-014,CAR,,NWE,W 24-20,8,7,59,8.43,1,0,0,,0,0,0,,0,1,6,0.0,0,0
11,11,2013-11-24,27-020,CAR,@,MIA,W 20-16,5,2,36,18.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
12,12,2013-12-01,27-027,CAR,,TAM,W 27-6,7,3,36,12.00,1,0,0,,0,0,0,,0,1,6,0.0,0,0
13,13,2013-12-08,27-034,CAR,@,NOR,L 13-31,4,2,22,11.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
14,14,2013-12-15,27-041,CAR,,NYJ,W 30-20,4,3,61,20.33,0,1,6,6.00,0,0,0,,0,0,0,0.0,0,0
15,15,2013-12-22,27-048,CAR,,NOR,W 17-13,2,1,13,13.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
16,16,2013-12-29,27-055,CAR,@,ATL,W 21-20,5,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,12-4-0,85,49,627,12.80,5,2,15,7.50,0,1,0,0.00,0,5,30,0.0,2,0
