
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,28-139,CAR,@,ARI,L 21-28,12,30,2.50,0,2,1,6,6.00,0,0,0,0.0,0,0
2,2,2011-09-18,28-146,CAR,,GNB,L 23-30,5,13,2.60,0,4,4,23,5.75,0,0,0,0.0,0,0
3,3,2011-09-25,28-153,CAR,,JAX,W 16-10,10,18,1.80,0,3,2,17,8.50,0,0,0,0.0,0,0
4,4,2011-10-02,28-160,CAR,@,CHI,L 29-34,10,82,8.20,0,1,0,0,,0,0,0,0.0,0,0
5,5,2011-10-09,28-167,CAR,,NOR,L 27-30,9,115,12.78,1,0,0,0,,0,1,6,0.0,1,0
6,6,2011-10-16,28-174,CAR,@,ATL,L 17-31,12,44,3.67,0,3,1,2,2.00,0,0,0,0.0,0,0
7,7,2011-10-23,28-181,CAR,,WAS,W 33-20,10,35,3.50,0,0,0,0,,0,0,0,0.0,0,0
8,8,2011-10-30,28-188,CAR,,MIN,L 21-24,7,26,3.71,0,2,2,13,6.50,0,0,0,0.0,0,0
9,9,2011-11-13,28-202,CAR,,TEN,L 3-30,8,35,4.38,0,1,0,0,,0,0,0,0.0,0,0
10,10,2011-11-20,28-209,CAR,@,DET,L 35-49,10,73,7.30,0,1,1,32,32.00,0,0,0,0.0,0,0
11,11,2011-11-27,28-216,CAR,@,IND,W 27-19,15,69,4.60,2,0,0,0,,0,2,12,0.0,0,0
12,12,2011-12-04,28-223,CAR,@,TAM,W 38-19,11,29,2.64,0,0,0,0,,0,0,0,0.0,0,0
13,13,2011-12-11,28-230,CAR,,ATL,L 23-31,7,87,12.43,1,2,1,4,4.00,0,1,6,0.0,0,0
14,14,2011-12-18,28-237,CAR,@,HOU,W 28-13,15,61,4.07,1,0,0,0,,0,1,6,0.0,0,0
15,15,2011-12-24,28-243,CAR,,TAM,W 48-16,7,66,9.43,2,2,2,18,9.00,0,2,12,0.0,0,0
16,16,2012-01-01,28-251,CAR,@,NOR,L 17-45,7,53,7.57,0,4,2,20,10.00,0,0,0,0.0,0,0
,,16 Games,,,,,6-10-0,155,836,5.39,7,25,16,135,8.44,0,7,42,0.0,1,0
