
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,24-174,CAR,@,ARI,L 21-28,7,26,3.71,0,3,2,14,7.00,0,0,0,0.0,0,0
2,2,2011-09-18,24-181,CAR,,GNB,L 23-30,6,5,0.83,0,8,8,100,12.50,0,0,0,0.0,0,0
3,3,2011-09-25,24-188,CAR,,JAX,W 16-10,10,59,5.90,0,4,3,26,8.67,0,0,0,0.0,0,0
4,4,2011-10-02,24-195,CAR,@,CHI,L 29-34,8,52,6.50,0,4,4,33,8.25,0,0,0,0.0,0,0
5,5,2011-10-09,24-202,CAR,,NOR,L 27-30,6,20,3.33,0,1,1,13,13.00,0,0,0,0.0,0,0
6,6,2011-10-16,24-209,CAR,@,ATL,L 17-31,7,48,6.86,1,3,3,24,8.00,0,1,6,0.0,0,0
7,7,2011-10-23,24-216,CAR,,WAS,W 33-20,14,68,4.86,1,0,0,0,,0,1,6,0.0,0,0
8,8,2011-10-30,24-223,CAR,,MIN,L 21-24,13,49,3.77,0,3,2,10,5.00,0,0,0,0.0,0,0
9,9,2011-11-13,24-237,CAR,,TEN,L 3-30,4,23,5.75,0,7,4,22,5.50,0,0,0,0.0,0,0
10,10,2011-11-20,24-244,CAR,@,DET,L 35-49,8,22,2.75,0,6,6,87,14.50,0,0,0,0.0,0,0
11,11,2011-11-27,24-251,CAR,@,IND,W 27-19,10,70,7.00,0,4,3,12,4.00,0,0,0,0.0,1,0
12,12,2011-12-04,24-258,CAR,@,TAM,W 38-19,14,80,5.71,1,2,2,19,9.50,0,1,6,0.0,0,0
13,13,2011-12-11,24-265,CAR,,ATL,L 23-31,8,29,3.63,0,9,4,27,6.75,0,0,0,0.0,0,0
14,14,2011-12-18,24-272,CAR,@,HOU,W 28-13,11,43,3.91,0,3,2,8,4.00,0,0,0,0.0,0,0
15,15,2011-12-24,24-278,CAR,,TAM,W 48-16,7,88,12.57,0,2,1,11,11.00,1,1,6,0.0,0,0
16,16,2012-01-01,24-286,CAR,@,NOR,L 17-45,9,79,8.78,1,2,2,7,3.50,0,1,6,0.0,0,0
,,16 Games,,,,,6-10-0,142,761,5.36,4,61,47,413,8.79,1,5,30,0.0,1,0
