
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,32-122,CAR,@,ARI,L 21-28,11,8,178,22.25,2,0,0,,0,,2,12,0.0,0,0
2,2,2011-09-18,32-129,CAR,,GNB,L 23-30,13,6,156,26.00,0,0,0,,0,,0,0,0.0,3,0
3,3,2011-09-25,32-136,CAR,,JAX,W 16-10,7,2,15,7.50,0,0,0,,0,,0,0,0.0,0,0
4,4,2011-10-02,32-143,CAR,@,CHI,L 29-34,10,8,181,22.63,0,0,0,,0,,0,0,0.0,0,0
5,5,2011-10-09,32-150,CAR,,NOR,L 27-30,7,3,79,26.33,1,0,0,,0,,1,6,0.0,0,0
6,6,2011-10-16,32-157,CAR,@,ATL,L 17-31,7,5,66,13.20,0,0,0,,0,,0,0,0.0,0,0
7,7,2011-10-23,32-164,CAR,,WAS,W 33-20,9,7,143,20.43,0,1,6,6.00,0,,0,0,0.0,0,0
8,8,2011-10-30,32-171,CAR,,MIN,L 21-24,9,7,100,14.29,1,1,12,12.00,0,,1,6,0.0,0,0
9,9,2011-11-13,32-185,CAR,,TEN,L 3-30,8,5,33,6.60,0,0,0,,0,,0,0,0.0,0,0
10,10,2011-11-20,32-192,CAR,@,DET,L 35-49,10,5,41,8.20,1,1,5,5.00,0,1,1,8,0.0,1,0
11,11,2011-11-27,32-199,CAR,@,IND,W 27-19,7,3,68,22.67,0,1,9,9.00,0,,0,0,0.0,0,0
12,12,2011-12-04,32-206,CAR,@,TAM,W 38-19,6,2,32,16.00,0,0,0,,0,,0,0,0.0,0,0
13,13,2011-12-11,32-213,CAR,,ATL,L 23-31,8,6,125,20.83,0,0,0,,0,,0,0,0.0,0,0
14,14,2011-12-18,32-220,CAR,@,HOU,W 28-13,7,5,82,16.40,1,0,0,,0,,1,6,0.0,0,0
15,15,2011-12-24,32-226,CAR,,TAM,W 48-16,3,1,9,9.00,0,1,23,23.00,0,,0,0,0.0,0,0
16,16,2012-01-01,32-234,CAR,@,NOR,L 17-45,7,6,86,14.33,1,1,1,1.00,0,,1,6,0.0,1,0
,,16 Games,,,,,6-10-0,129,79,1394,17.65,7,6,56,9.33,0,1,7,44,0.0,5,0
