
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,24-120,CAR,,SEA,L 7-12,*,16,23,69.57,125,1,0,97.2,5.43,6.30,5,38,7.60,0,0,0,0.0,0,0
2,2,2013-09-15,24-127,CAR,@,BUF,L 23-24,*,21,38,55.26,229,2,1,79.8,6.03,5.89,4,15,3.75,0,0,0,0.0,0,0
3,3,2013-09-22,24-134,CAR,,NYG,W 38-0,*,15,27,55.56,223,3,1,104.4,8.26,8.81,7,45,6.43,1,1,6,0.0,0,0
4,4,2013-10-06,24-148,CAR,@,ARI,L 6-22,*,21,39,53.85,308,0,3,47.8,7.90,4.44,4,25,6.25,0,0,0,0.0,2,0
5,5,2013-10-13,24-155,CAR,@,MIN,W 35-10,*,20,26,76.92,242,3,0,143.4,9.31,11.62,9,30,3.33,1,1,6,0.0,0,0
6,6,2013-10-20,24-162,CAR,,STL,W 30-15,*,15,17,88.24,204,1,0,136.3,12.00,13.18,10,26,2.60,0,0,0,0.0,0,0
7,7,2013-10-24,24-166,CAR,@,TAM,W 31-13,*,23,32,71.88,221,2,0,111.6,6.91,8.16,11,50,4.55,1,1,6,0.0,0,0
8,8,2013-11-03,24-176,CAR,,ATL,W 34-10,*,23,37,62.16,249,1,2,68.4,6.73,4.84,5,22,4.40,1,1,6,0.0,0,0
9,9,2013-11-10,24-183,CAR,@,SFO,W 10-9,*,16,32,50.00,169,0,1,52.7,5.28,3.88,8,15,1.88,0,0,0,0.0,0,0
10,10,2013-11-18,24-191,CAR,,NWE,W 24-20,*,19,28,67.86,209,3,0,125.4,7.46,9.61,7,62,8.86,0,0,0,0.0,0,0
11,11,2013-11-24,24-197,CAR,@,MIA,W 20-16,*,19,38,50.00,174,1,1,60.6,4.58,3.92,7,51,7.29,1,1,6,0.0,0,0
12,12,2013-12-01,24-204,CAR,,TAM,W 27-6,*,18,29,62.07,263,2,2,85.8,9.07,7.34,5,68,13.60,1,1,6,0.0,0,0
13,13,2013-12-08,24-211,CAR,@,NOR,L 13-31,*,22,34,64.71,160,1,0,85.4,4.71,5.29,6,48,8.00,0,0,0,0.0,0,0
14,14,2013-12-15,24-218,CAR,,NYJ,W 30-20,*,16,24,66.67,273,1,0,118.9,11.38,12.21,7,12,1.71,0,0,0,0.0,0,0
15,15,2013-12-22,24-225,CAR,,NOR,W 17-13,*,13,22,59.09,181,1,1,81.8,8.23,7.09,4,6,1.50,0,0,0,0.0,0,0
16,16,2013-12-29,24-232,CAR,@,ATL,W 21-20,*,15,27,55.56,149,2,1,80.6,5.52,5.33,12,72,6.00,0,0,0,0.0,0,0
,,16 Games,,,,,12-4-0,,292,473,61.73,3379,24,13,88.8,7.14,6.92,111,585,5.27,6,6,36,0.0,2,0
