
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,23-318,NYJ,,BUF,W 48-28,3,10,3.33,0,1,1,16,16.00,0,0,0
2,2,2012-09-16,23-325,NYJ,@,PIT,L 10-27,9,33,3.67,0,2,0,0,,0,0,0
3,3,2012-09-23,23-332,NYJ,@,MIA,W 23-20,10,45,4.50,0,5,2,24,12.00,0,0,0
4,4,2012-09-30,23-339,NYJ,,SFO,L 0-34,4,11,2.75,0,3,0,0,,0,0,0
5,5,2012-10-08,23-347,NYJ,,HOU,L 17-23,4,18,4.50,0,4,0,0,,0,0,0
6,6,2012-10-14,23-353,NYJ,,IND,W 35-9,4,14,3.50,0,2,1,1,1.00,0,0,0
7,9,2012-11-11,24-015,NYJ,@,SEA,L 7-28,1,7,7.00,0,1,1,4,4.00,0,0,0
8,10,2012-11-18,24-022,NYJ,@,STL,W 27-13,11,42,3.82,2,2,2,18,9.00,0,2,12
9,11,2012-11-22,24-026,NYJ,,NWE,L 19-49,12,40,3.33,1,3,2,13,6.50,0,1,6
10,12,2012-12-02,24-036,NYJ,,ARI,W 7-6,12,58,4.83,0,1,0,0,,0,0,0
11,13,2012-12-09,24-043,NYJ,@,JAX,W 17-10,19,78,4.11,1,0,0,0,,0,1,6
12,14,2012-12-17,24-051,NYJ,@,TEN,L 10-14,6,28,4.67,0,2,2,15,7.50,0,0,0
13,15,2012-12-23,24-057,NYJ,,SDG,L 17-27,3,-3,-1.00,0,4,4,37,9.25,0,0,0
14,16,2012-12-30,24-064,NYJ,@,BUF,L 9-28,12,56,4.67,0,6,2,12,6.00,0,0,0
,,14 Games,,,,,6-8-0,110,437,3.97,4,36,17,140,8.24,0,4,24
