
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,27-176,NYJ,,OAK,W 19-14,7,5,74,14.80,0,0,0,0.0,1,0
2,2,2014-09-14,27-183,NYJ,@,GNB,L 24-31,7,4,63,15.75,1,1,6,0.0,0,0
3,3,2014-09-22,27-191,NYJ,,CHI,L 19-27,1,1,19,19.00,0,0,0,0.0,0,0
4,4,2014-09-28,27-197,NYJ,,DET,L 17-24,10,4,48,12.00,1,1,6,0.0,0,0
5,6,2014-10-12,27-211,NYJ,,DEN,L 17-31,10,6,54,9.00,1,1,6,0.0,0,0
6,7,2014-10-16,27-215,NYJ,@,NWE,L 25-27,7,4,65,16.25,0,0,0,0.0,0,0
7,8,2014-10-26,27-225,NYJ,,BUF,L 23-43,11,7,40,5.71,0,0,0,0.0,0,0
8,9,2014-11-02,27-232,NYJ,@,KAN,L 10-24,12,9,63,7.00,1,1,6,0.0,0,0
9,10,2014-11-09,27-239,NYJ,,PIT,W 20-13,4,3,24,8.00,0,0,0,0.0,0,0
10,11,2014-11-24,27-254,NYJ,@,BUF,L 3-38,8,4,63,15.75,0,0,0,0.0,0,0
11,12,2014-12-01,27-261,NYJ,,MIA,L 13-16,4,2,18,9.00,0,0,0,0.0,0,0
12,13,2014-12-07,27-267,NYJ,@,MIN,L 24-30,8,6,89,14.83,0,0,0,0.0,0,0
13,14,2014-12-14,27-274,NYJ,@,TEN,W 16-11,11,7,100,14.29,0,0,0,0.0,0,0
14,15,2014-12-21,27-281,NYJ,,NWE,L 16-17,4,2,21,10.50,0,0,0,0.0,0,0
15,16,2014-12-28,27-288,NYJ,@,MIA,W 37-24,11,10,221,22.10,1,1,6,0.0,0,0
,,15 Games,,,,,4-11-0,115,74,962,13.00,5,5,30,0.0,1,0
