
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,25-130,NYJ,,BUF,W 48-28,4,3,33,11.00,0,0,0
2,2,2012-09-16,25-137,NYJ,@,PIT,L 10-27,5,2,13,6.50,0,0,0
3,3,2012-09-23,25-144,NYJ,@,MIA,W 23-20,6,2,25,12.50,0,0,0
4,4,2012-09-30,25-151,NYJ,,SFO,L 0-34,5,4,17,4.25,0,0,0
5,5,2012-10-08,25-159,NYJ,,HOU,L 17-23,4,2,51,25.50,1,1,6
6,6,2012-10-14,25-165,NYJ,,IND,W 35-9,1,0,0,,0,0,0
7,7,2012-10-21,25-172,NYJ,@,NWE,L 26-29,1,1,4,4.00,0,0,0
8,9,2012-11-11,25-193,NYJ,@,SEA,L 7-28,,,,,,,
9,10,2012-11-18,25-200,NYJ,@,STL,W 27-13,1,1,7,7.00,0,0,0
10,11,2012-11-22,25-204,NYJ,,NWE,L 19-49,4,4,58,14.50,0,0,0
11,12,2012-12-02,25-214,NYJ,,ARI,W 7-6,4,2,25,12.50,1,1,6
12,13,2012-12-09,25-221,NYJ,@,JAX,W 17-10,2,1,37,37.00,0,0,0
13,14,2012-12-17,25-229,NYJ,@,TEN,L 10-14,9,4,53,13.25,1,1,6
14,15,2012-12-23,25-235,NYJ,,SDG,L 17-27,1,0,0,,0,0,0
15,16,2012-12-30,25-242,NYJ,@,BUF,L 9-28,6,3,36,12.00,0,0,0
,,15 Games,,,,,6-9-0,53,29,359,12.38,3,3,18
