
No.,,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
7,Geno Smith,23,QB,16,16,8-8-0,247,443,55.8,3046,12,2.7,21,4.7,69,6.9,5.3,12.3,190.4,66.5,35.94,43,315,5.62,4.17,8.8,2,5
5,Matt Simms,25,,3,0,,16,31,51.6,156,1,3.2,1,3.2,25,5.0,4.2,9.8,52.0,63.4,7.18,4,23,3.80,3.09,11.4,,
16,Josh Cribbs,30,,6,0,,2,3,66.7,38,0,0.0,0,0.0,25,12.7,12.7,19.0,6.3,109.7,,0,0,12.67,12.67,0.0,,
32,Josh Bush,24,,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,0,0,0.00,0.00,0.0,,
11,Jeremy Kerley,25,WR,12,8,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.03,0,0,0.00,0.00,0.0,,
29,Bilal Powell,25,RB,16,11,,1,1,100.0,30,0,0.0,0,0.0,30,30.0,30.0,30.0,1.9,118.7,10.41,0,0,30.00,30.00,0.0,,
,Team Total,26.0,,16,,8-8-0,266,480,55.4,3270,13,2.7,22,4.6,69,6.8,5.3,12.3,204.4,66.6,,47,338,5.56,4.18,8.9,2,5
,Opp Total,,,16,,,345,586,58.9,4189,26,4.4,13,2.2,,7.1,7.04,12.1,261.8,86.5,,41,242,6.3,6.2,6.5,,
