
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts
1,1,2012-09-09,24-223,STL,@,DET,L 23-27,2,2,16,8.00,0,,0,0
2,2,2012-09-16,24-230,STL,,WAS,W 31-28,2,2,25,12.50,0,,0,0
3,3,2012-09-23,24-237,STL,@,CHI,L 6-23,7,3,18,6.00,0,,0,0
4,4,2012-09-30,24-244,STL,,SEA,W 19-13,2,2,22,11.00,0,,0,0
5,5,2012-10-04,24-248,STL,,ARI,W 17-3,2,1,7,7.00,1,,1,6
6,6,2012-10-14,24-258,STL,@,MIA,L 14-17,4,4,40,10.00,0,,0,0
7,7,2012-10-21,24-265,STL,,GNB,L 20-30,4,2,5,2.50,0,,0,0
8,8,2012-10-28,24-272,STL,,NWE,L 7-45,4,4,32,8.00,0,,0,0
9,9,2012-11-11,24-286,STL,@,SFO,T 24-24,6,3,48,16.00,0,,0,0
10,10,2012-11-18,24-293,STL,,NYJ,L 13-27,2,2,14,7.00,0,,0,0
11,11,2012-11-25,24-300,STL,@,ARI,W 31-17,2,1,37,37.00,1,,1,6
12,12,2012-12-02,24-307,STL,,SFO,W 16-13,5,3,32,10.67,0,1,0,2
13,13,2012-12-09,24-314,STL,@,BUF,W 15-12,8,3,36,12.00,0,,0,0
14,14,2012-12-16,24-321,STL,,MIN,L 22-36,5,3,35,11.67,1,,1,6
15,15,2012-12-23,24-328,STL,@,TAM,W 28-13,5,4,119,29.75,1,,1,6
16,16,2012-12-30,24-335,STL,@,SEA,L 13-20,4,3,33,11.00,0,,0,0
,,16 Games,,,,,7-8-1,64,42,519,12.36,4,1,4,26
