
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1,2011-09-11,34-118,STL,,PHI,L 13-31,,1,5,20.00,21,0,0,44.6,4.20,4.20,0,0,,0
2,6,2011-10-23,34-160,STL,@,DAL,L 7-34,*,20,33,60.61,196,0,1,64.7,5.94,4.58,1,-1,-1.00,0
3,7,2011-10-30,34-167,STL,,NOR,W 31-21,*,20,37,54.05,175,1,0,75.8,4.73,5.27,2,5,2.50,0
4,9,2011-11-13,34-181,STL,@,CLE,W 13-12,,,,,,,,,,,,,,
5,12,2011-12-04,34-202,STL,@,SFO,L 0-26,*,12,22,54.55,156,0,1,58.1,7.09,5.05,0,0,,0
,,5 Games,,,,,2-3-0,,53,97,54.64,548,1,2,66.0,5.65,4.93,3,4,1.33,0
