
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts
1,1,2013-09-08,25-304,STL,,ARI,W 27-24,*,27,38,71.05,299,2,1,100.7,7.87,7.74,2,1,0.50,0,1,0,2
2,2,2013-09-15,25-311,STL,@,ATL,L 24-31,*,32,55,58.18,352,3,1,87.8,6.40,6.67,3,25,8.33,0,,0,0
3,3,2013-09-22,25-318,STL,@,DAL,L 7-31,*,29,48,60.42,240,1,0,80.2,5.00,5.42,0,0,,0,,0,0
4,4,2013-09-26,25-322,STL,,SFO,L 11-35,*,19,41,46.34,202,1,1,59.2,4.93,4.32,3,-4,-1.33,0,,0,0
5,5,2013-10-06,25-332,STL,,JAX,W 34-20,*,19,34,55.88,222,3,0,105.3,6.53,8.29,5,4,0.80,0,,0,0
6,6,2013-10-13,25-339,STL,@,HOU,W 38-13,*,12,16,75.00,117,3,0,134.6,7.31,11.06,1,4,4.00,0,,0,0
7,7,2013-10-20,25-346,STL,@,CAR,L 15-30,*,21,30,70.00,255,1,1,93.1,8.50,7.67,1,1,1.00,0,,0,0
,,7 Games,,,,,3-4-0,,159,262,60.69,1687,14,4,90.9,6.44,6.82,15,31,2.07,0,1,0,2
