
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,26-154,STL,,ARI,W 27-24,10,7,141,20.14,2,2,12,0.0,0,0
2,2,2013-09-15,26-161,STL,@,ATL,L 24-31,6,1,10,10.00,0,0,0,0.0,0,0
3,3,2013-09-22,26-168,STL,@,DAL,L 7-31,7,5,44,8.80,0,0,0,0.0,0,0
4,4,2013-09-26,26-172,STL,,SFO,L 11-35,9,4,45,11.25,0,0,0,0.0,0,0
5,5,2013-10-06,26-182,STL,,JAX,W 34-20,3,3,26,8.67,0,0,0,0.0,0,0
6,6,2013-10-13,26-189,STL,@,HOU,W 38-13,2,2,45,22.50,0,0,0,0.0,0,0
7,7,2013-10-20,26-196,STL,@,CAR,L 15-30,7,4,33,8.25,0,0,0,0.0,0,0
8,8,2013-10-28,26-204,STL,,SEA,L 9-14,6,3,31,10.33,0,0,0,0.0,0,0
9,9,2013-11-03,26-210,STL,,TEN,L 21-28,6,3,36,12.00,1,1,6,0.0,0,0
10,10,2013-11-10,26-217,STL,@,IND,W 38-8,2,1,17,17.00,0,0,0,0.0,1,0
11,11,2013-11-24,26-231,STL,,CHI,W 42-21,5,4,80,20.00,1,1,6,0.0,0,0
12,12,2013-12-01,26-238,STL,@,SFO,L 13-23,6,3,49,16.33,0,0,0,0.0,0,0
13,13,2013-12-08,26-245,STL,@,ARI,L 10-30,6,3,49,16.33,0,0,0,0.0,0,0
14,14,2013-12-15,26-252,STL,,NOR,W 27-16,1,1,8,8.00,0,0,0,0.0,0,0
15,15,2013-12-22,26-259,STL,,TAM,W 23-13,2,2,27,13.50,0,0,0,0.0,0,0
16,16,2013-12-29,26-266,STL,@,SEA,L 9-27,7,5,30,6.00,1,1,6,0.0,0,0
,,16 Games,,,,,7-9-0,85,51,671,13.16,5,5,30,0.0,1,0
