
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1,2011-09-11,23-307,STL,,PHI,L 13-31,*,17,30,56.67,188,0,0,75.4,6.27,6.27,1,-15,-15.00,0
2,2,2011-09-19,23-315,STL,@,NYG,L 16-28,*,22,46,47.83,331,1,0,79.2,7.20,7.63,3,15,5.00,0
3,3,2011-09-25,23-321,STL,,BAL,L 7-37,*,16,32,50.00,166,1,1,62.8,5.19,4.41,3,22,7.33,0
4,4,2011-10-02,23-328,STL,,WAS,L 10-17,*,20,43,46.51,164,1,0,64.5,3.81,4.28,0,0,,0
5,5,2011-10-16,23-342,STL,@,GNB,L 3-24,*,29,45,64.44,328,0,1,76.9,7.29,6.29,2,0,0.00,0
6,8,2011-11-06,23-363,STL,@,ARI,L 13-19,*,23,36,63.89,255,0,1,73.3,7.08,5.83,1,2,2.00,0
7,9,2011-11-13,24-005,STL,@,CLE,W 13-12,*,15,25,60.00,155,1,1,74.6,6.20,5.20,4,3,0.75,0
8,10,2011-11-20,24-012,STL,,SEA,L 7-24,*,20,40,50.00,181,1,1,60.5,4.53,3.90,2,0,0.00,0
9,11,2011-11-27,24-019,STL,,ARI,L 20-23,*,17,31,54.84,203,1,0,85.8,6.55,7.19,0,0,,0
10,13,2011-12-12,24-034,STL,@,SEA,L 13-30,*,12,29,41.38,193,0,1,49.9,6.66,5.10,2,-1,-0.50,0
,,10 Games,,,,,1-9-0,,191,357,53.50,2164,6,6,70.5,6.06,5.64,18,26,1.44,0
