
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1,2012-09-09,24-306,STL,@,DET,L 23-27,*,17,25,68.00,198,1,0,105.1,7.92,8.72,2,2,1.00,0,0,0
2,2,2012-09-16,24-313,STL,,WAS,W 31-28,*,26,35,74.29,310,3,1,117.6,8.86,9.29,3,10,3.33,0,0,0
3,3,2012-09-23,24-320,STL,@,CHI,L 6-23,*,18,35,51.43,152,0,2,39.2,4.34,1.77,2,14,7.00,0,0,0
4,4,2012-09-30,24-327,STL,,SEA,W 19-13,*,16,30,53.33,221,0,1,63.3,7.37,5.87,2,-2,-1.00,0,0,0
5,5,2012-10-04,24-331,STL,,ARI,W 17-3,*,7,21,33.33,141,2,1,69.7,6.71,6.48,5,0,0.00,0,0,0
6,6,2012-10-14,24-341,STL,@,MIA,L 14-17,*,26,39,66.67,315,0,0,91.3,8.08,8.08,4,34,8.50,1,1,6
7,7,2012-10-21,24-348,STL,,GNB,L 20-30,*,21,34,61.76,255,1,1,82.4,7.50,6.76,0,0,,0,0,0
8,8,2012-10-28,24-355,STL,,NWE,L 7-45,*,22,30,73.33,205,1,1,88.9,6.83,6.00,2,0,0.00,0,0,0
9,9,2012-11-11,25-003,STL,@,SFO,T 24-24,*,26,39,66.67,275,2,0,104.1,7.05,8.08,1,0,0.00,0,0,0
10,10,2012-11-18,25-010,STL,,NYJ,L 13-27,*,23,44,52.27,170,2,1,67.4,3.86,3.75,1,7,7.00,0,0,0
11,11,2012-11-25,25-017,STL,@,ARI,W 31-17,*,8,17,47.06,205,2,1,106.2,12.06,11.76,2,1,0.50,0,0,0
12,12,2012-12-02,25-024,STL,,SFO,W 16-13,*,26,39,66.67,221,0,0,81.2,5.67,5.67,3,31,10.33,0,0,0
13,13,2012-12-09,25-031,STL,@,BUF,W 15-12,*,19,39,48.72,209,1,1,62.9,5.36,4.72,4,13,3.25,0,0,0
14,14,2012-12-16,25-038,STL,,MIN,L 22-36,*,35,55,63.64,377,3,1,94.3,6.85,7.13,2,9,4.50,0,0,0
15,15,2012-12-23,25-045,STL,@,TAM,W 28-13,*,13,27,48.15,196,2,1,81.7,7.26,7.07,2,-1,-0.50,0,0,0
16,16,2012-12-30,25-052,STL,@,SEA,L 13-20,*,25,42,59.52,252,1,1,74.7,6.00,5.40,1,6,6.00,0,0,0
,,16 Games,,,,,7-8-1,,328,551,59.53,3702,21,13,82.6,6.72,6.42,36,124,3.44,1,1,6
