
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,22-177,STL,,ARI,W 27-24,7,6,41,6.83,0,1,-1,-1.00,0,0,0,,0,0,0,,,,0,0,,0,1,1,1.00,0,0,0,0.0,0,0
2,2,2013-09-15,22-184,STL,@,ATL,L 24-31,12,6,47,7.83,2,2,8,4.00,0,0,0,,0,0,0,,,,0,0,,0,4,6,1.50,0,2,12,0.0,0,0
3,3,2013-09-22,22-191,STL,@,DAL,L 7-31,7,6,30,5.00,0,1,3,3.00,0,0,0,,0,0,0,,,,0,0,,0,2,16,8.00,0,0,0,0.0,0,0
4,4,2013-09-26,22-195,STL,,SFO,L 11-35,8,2,6,3.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,6,19,3.17,0,0,0,0.0,0,0
5,5,2013-10-06,22-205,STL,,JAX,W 34-20,6,3,32,10.67,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,4,15,3.75,0,0,0,0.0,0,0
6,6,2013-10-13,22-212,STL,@,HOU,W 38-13,1,1,3,3.00,0,0,0,,0,0,0,,0,0,0,,,,1,8,8.00,0,0,0,,0,0,0,0.0,0,0
7,7,2013-10-20,22-219,STL,@,CAR,L 15-30,5,5,39,7.80,0,0,0,,0,0,0,,0,0,0,,,,3,73,24.33,0,3,26,8.67,0,0,0,0.0,0,0
8,8,2013-10-28,22-227,STL,,SEA,L 9-14,3,2,9,4.50,0,0,0,,0,0,0,,0,0,0,,,,3,79,26.33,0,3,7,2.33,0,0,0,0.0,0,0
9,9,2013-11-03,22-233,STL,,TEN,L 21-28,2,0,0,,0,1,6,6.00,0,0,0,,0,0,0,,,,1,25,25.00,0,3,33,11.00,0,0,0,0.0,0,0
10,10,2013-11-10,22-240,STL,@,IND,W 38-8,3,2,138,69.00,2,1,4,4.00,0,0,0,,0,0,0,,,,1,27,27.00,0,4,145,36.25,1,2,18,0.0,0,0
11,11,2013-11-24,22-254,STL,,CHI,W 42-21,5,2,39,19.50,0,1,65,65.00,1,0,0,,0,0,0,,,,1,24,24.00,0,1,1,1.00,0,1,6,0.0,0,0
12,12,2013-12-01,22-261,STL,@,SFO,L 13-23,7,4,25,6.25,0,1,10,10.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,4,67,16.75,0,1,10,10.00,0,0,0,0.0,1,0
13,13,2013-12-08,22-268,STL,@,ARI,L 10-30,3,1,9,9.00,0,1,56,56.00,0,0,0,,0,0,0,,,,4,95,23.75,0,1,1,1.00,0,0,0,0.0,0,0
,,13 Games,,,,,5-8-0,69,40,418,10.45,4,9,151,16.78,1,0,1,0.00,0,0,0,39.6,0.00,0.00,18,398,22.11,0,33,280,8.48,1,5,36,0.0,1,0
