
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,14,2011-12-18,28-195,STL,,CIN,L 13-20,*,25,36,69.44,229,1,0,95.7,6.36,6.92,2,9,4.50,0,0,0
2,15,2011-12-24,28-201,STL,@,PIT,L 0-27,*,9,24,37.50,91,0,0,49.1,3.79,3.79,2,10,5.00,0,0,0
3,16,2012-01-01,28-209,STL,,SFO,L 27-34,*,14,31,45.16,226,1,1,67.4,7.29,6.48,2,18,9.00,1,1,6
,,3 Games,,,,,0-3-0,,48,91,52.75,546,2,1,73.8,6.00,5.95,6,37,6.17,1,1,6
