
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-12,30-069,DEN,,OAK,L 20-23,10,6,89,14.83,0,0,0,,0,0,0,,,,0,0,0.0,1,0
2,3,2011-09-25,30-082,DEN,@,TEN,L 14-17,6,4,38,9.50,0,0,0,,0,0,0,,,,0,0,0.0,0,0
3,4,2011-10-02,30-089,DEN,@,GNB,L 23-49,11,8,136,17.00,0,0,0,,0,0,0,,,,0,0,0.0,0,0
4,5,2011-10-09,30-096,DEN,,SDG,L 24-29,4,1,20,20.00,0,0,0,,0,0,0,,,,0,0,0.0,0,0
5,6,2011-10-23,30-110,STL,@,DAL,L 7-34,12,6,74,12.33,0,0,0,,0,0,0,,,,0,0,0.0,1,0
6,7,2011-10-30,30-117,STL,,NOR,W 31-21,13,6,53,8.83,1,0,0,,0,0,0,,,,1,6,0.0,0,0
7,8,2011-11-06,30-124,STL,@,ARI,L 13-19,13,5,80,16.00,0,0,0,,0,0,0,,,,0,0,0.0,1,0
8,9,2011-11-13,30-131,STL,@,CLE,W 13-12,9,4,48,12.00,1,0,0,,0,0,0,,,,1,6,0.0,0,0
9,10,2011-11-20,30-138,STL,,SEA,L 7-24,14,5,67,13.40,1,0,0,,0,0,0,,,,1,6,0.0,0,0
10,11,2011-11-27,30-145,STL,,ARI,L 20-23,10,5,74,14.80,1,0,1,0.00,0,0,0,39.6,0.00,0.00,1,6,0.0,0,0
11,12,2011-12-04,30-152,STL,@,SFO,L 0-26,2,1,34,34.00,0,0,0,,0,0,0,,,,0,0,0.0,0,0
12,13,2011-12-12,30-160,STL,@,SEA,L 13-30,12,5,82,16.40,0,0,0,,0,0,0,,,,0,0,0.0,1,0
13,14,2011-12-18,30-166,STL,,CIN,L 13-20,9,5,42,8.40,0,0,0,,0,0,0,,,,0,0,0.0,0,0
14,15,2011-12-24,30-172,STL,@,PIT,L 0-27,12,3,29,9.67,0,0,0,,0,0,0,,,,0,0,0.0,0,0
15,16,2012-01-01,30-180,STL,,SFO,L 27-34,11,6,100,16.67,1,0,0,,0,0,0,,,,1,6,0.0,1,0
,,15 Games,,,,,2-13-0,148,70,966,13.80,5,0,1,0.00,0,0,0,39.6,0.00,0.00,5,30,0.0,5,0
