
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,24-259,DEN,,PIT,W 31-19,7,5,110,22.00,1,1,6
2,2,2012-09-17,24-267,DEN,@,ATL,L 21-27,11,8,78,9.75,1,1,6
3,3,2012-09-23,24-273,DEN,,HOU,L 25-31,13,3,34,11.33,0,0,0
4,4,2012-09-30,24-280,DEN,,OAK,W 37-6,6,5,103,20.60,0,0,0
5,5,2012-10-07,24-287,DEN,@,NWE,L 21-31,11,9,180,20.00,0,0,0
6,6,2012-10-15,24-295,DEN,@,SDG,W 35-24,2,2,37,18.50,1,1,6
7,7,2012-10-28,24-308,DEN,,NOR,W 34-14,9,7,137,19.57,1,1,6
8,8,2012-11-04,24-315,DEN,@,CIN,W 31-23,8,6,77,12.83,0,0,0
9,9,2012-11-11,24-322,DEN,@,CAR,W 36-14,11,9,135,15.00,0,0,0
10,10,2012-11-18,24-329,DEN,,SDG,W 30-23,9,3,42,14.00,1,1,6
11,11,2012-11-25,24-336,DEN,@,KAN,W 17-9,8,4,82,20.50,1,1,6
12,12,2012-12-02,24-343,DEN,,TAM,W 31-23,10,8,99,12.38,2,2,12
13,13,2012-12-06,24-347,DEN,@,OAK,W 26-13,7,5,83,16.60,0,0,0
14,14,2012-12-16,24-357,DEN,@,BAL,W 34-17,9,4,13,3.25,0,0,0
15,15,2012-12-23,24-364,DEN,,CLE,W 34-12,14,9,102,11.33,1,1,6
16,16,2012-12-30,25-005,DEN,,KAN,W 38-3,8,7,122,17.43,1,1,6
,,16 Games,,,,,13-3-0,143,94,1434,15.26,10,10,60
