
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
1,6,2011-10-23,23-302,DEN,@,MIA,W 18-15,10,3,27,9.00,1,0,0,,0,0,0,,0,0,0,,,,1,6
2,7,2011-10-30,23-309,DEN,,DET,L 10-45,3,1,10,10.00,0,0,0,,0,0,0,,0,0,0,,,,0,0
3,8,2011-11-06,23-316,DEN,@,OAK,W 38-24,2,1,29,29.00,0,0,0,,0,0,0,,0,0,0,,,,0,0
4,9,2011-11-13,23-323,DEN,@,KAN,W 17-10,,,,,,,,,,,,,,,,,,,,
5,10,2011-11-17,23-327,DEN,,NYJ,W 17-13,6,2,37,18.50,0,0,0,,0,0,0,,0,0,0,,,,0,0
6,11,2011-11-27,23-337,DEN,@,SDG,W 16-13,1,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0
7,12,2011-12-04,23-344,DEN,@,MIN,W 35-32,7,4,144,36.00,2,0,0,,0,0,0,,0,0,0,,,,2,12
8,13,2011-12-11,23-351,DEN,,CHI,W 13-10,13,7,78,11.14,1,1,5,5.00,0,0,0,,0,0,0,,,,1,6
9,14,2011-12-18,23-358,DEN,,NWE,L 23-41,13,7,116,16.57,0,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0
10,15,2011-12-24,23-364,DEN,@,BUF,L 14-40,8,4,76,19.00,0,0,0,,0,0,0,,0,0,0,,,,0,0
11,16,2012-01-01,24-007,DEN,,KAN,L 3-7,7,3,34,11.33,0,0,0,,0,0,0,,0,0,0,,,,0,0
,,11 Games,,,,,7-4-0,70,32,551,17.22,4,1,5,5.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,4,24
