
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-05,26-051,DEN,,BAL,W 49-27,9,28,3.11,0,3,3,37,12.33,0,0,0,0.0,0,0
2,2,2013-09-15,26-061,DEN,@,NYG,W 41-23,13,93,7.15,2,3,3,14,4.67,0,2,12,0.0,0,0
3,3,2013-09-23,26-069,DEN,,OAK,W 37-21,12,39,3.25,0,2,1,6,6.00,0,0,0,0.0,0,0
4,4,2013-09-29,26-075,DEN,,PHI,W 52-20,12,78,6.50,1,1,1,13,13.00,0,1,6,0.0,0,0
5,5,2013-10-06,26-082,DEN,@,DAL,W 51-48,19,93,4.89,1,5,5,57,11.40,0,1,6,0.0,0,0
6,6,2013-10-13,26-089,DEN,,JAX,W 35-19,15,42,2.80,3,10,7,62,8.86,0,3,18,0.0,0,0
7,7,2013-10-20,26-096,DEN,@,IND,L 33-39,15,40,2.67,1,6,3,9,3.00,0,1,6,0.0,1,0
8,8,2013-10-27,26-103,DEN,,WAS,W 45-21,13,43,3.31,0,6,6,89,14.83,1,1,6,0.0,0,0
9,9,2013-11-10,26-117,DEN,@,SDG,W 28-20,15,65,4.33,0,8,8,49,6.13,0,0,0,0.0,0,0
10,10,2013-11-17,26-124,DEN,,KAN,W 27-17,27,79,2.93,0,1,0,0,,0,0,0,0.0,0,0
11,11,2013-11-24,26-131,DEN,@,NWE,L 31-34,37,224,6.05,1,1,1,6,6.00,0,1,6,0.0,0,0
12,12,2013-12-01,26-138,DEN,@,KAN,W 35-28,15,18,1.20,0,5,4,72,18.00,1,1,6,0.0,0,0
13,13,2013-12-08,26-145,DEN,,TEN,W 51-28,14,78,5.57,1,7,6,31,5.17,0,1,6,0.0,0,0
14,14,2013-12-12,26-149,DEN,,SDG,L 20-27,8,19,2.38,0,6,5,36,7.20,0,0,0,0.0,0,0
15,15,2013-12-22,26-159,DEN,@,HOU,W 37-13,11,76,6.91,0,4,2,26,13.00,0,0,0,0.0,0,0
16,16,2013-12-29,26-166,DEN,@,OAK,W 34-14,6,23,3.83,0,6,5,41,8.20,1,1,6,0.0,0,0
,,16 Games,,,,,13-3-0,241,1038,4.31,10,74,60,548,9.13,3,13,78,0.0,1,0
