
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,26-256,DEN,,IND,W 31-24,11,4,48,12.00,0,,0,0,0.0,0,0
2,2,2014-09-14,26-263,DEN,,KAN,W 24-17,7,5,62,12.40,1,,1,6,0.0,0,0
3,3,2014-09-21,26-270,DEN,@,SEA,L 20-26,9,4,31,7.75,0,1,0,2,0.0,0,0
4,4,2014-10-05,26-284,DEN,,ARI,W 41-20,16,8,226,28.25,2,,2,12,0.0,0,0
5,5,2014-10-12,26-291,DEN,@,NYJ,W 31-17,12,10,124,12.40,1,,1,6,0.0,0,0
6,6,2014-10-19,26-298,DEN,,SFO,W 42-17,9,8,171,21.38,2,,2,12,0.0,0,0
7,7,2014-10-23,26-302,DEN,,SDG,W 35-21,12,8,105,13.13,0,,0,0,0.0,0,0
8,8,2014-11-02,26-312,DEN,@,NWE,L 21-43,11,7,127,18.14,0,,0,0,0.0,0,0
9,9,2014-11-09,26-319,DEN,@,OAK,W 41-17,14,11,108,9.82,0,,0,0,0.0,0,0
10,10,2014-11-16,26-326,DEN,@,STL,L 7-22,10,7,103,14.71,0,,0,0,0.0,0,0
11,11,2014-11-23,26-333,DEN,,MIA,W 39-36,13,10,87,8.70,3,,3,18,0.0,0,0
12,12,2014-11-30,26-340,DEN,@,KAN,W 29-16,13,6,63,10.50,1,,1,6,0.0,0,0
13,13,2014-12-07,26-347,DEN,,BUF,W 24-17,5,2,11,5.50,0,,0,0,0.0,1,0
14,14,2014-12-14,26-354,DEN,@,SDG,W 22-10,11,6,123,20.50,1,,1,6,0.0,0,0
15,15,2014-12-22,26-362,DEN,@,CIN,L 28-37,14,7,115,16.43,0,,0,0,0.0,1,0
16,16,2014-12-28,27-003,DEN,,OAK,W 47-14,17,8,115,14.38,0,,0,0,0.0,0,0
,,16 Games,,,,,12-4-0,184,111,1619,14.59,11,1,11,68,0.0,2,0
