
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1,2012-09-09,36-169,DEN,,PIT,W 31-19,*,19,26,73.08,253,2,0,129.2,9.73,11.27,4,3,0.75,0
2,2,2012-09-17,36-177,DEN,@,ATL,L 21-27,*,24,37,64.86,241,1,3,58.5,6.51,3.41,1,-1,-1.00,0
3,3,2012-09-23,36-183,DEN,,HOU,L 25-31,*,26,52,50.00,330,2,0,83.0,6.35,7.12,0,0,,0
4,4,2012-09-30,36-190,DEN,,OAK,W 37-6,*,30,38,78.95,338,3,0,130.0,8.89,10.47,1,-1,-1.00,0
5,5,2012-10-07,36-197,DEN,@,NWE,L 21-31,*,31,44,70.45,337,3,0,115.4,7.66,9.02,2,9,4.50,0
6,6,2012-10-15,36-205,DEN,@,SDG,W 35-24,*,24,30,80.00,309,3,1,129.0,10.30,10.80,3,-3,-1.00,0
7,7,2012-10-28,36-218,DEN,,NOR,W 34-14,*,22,30,73.33,305,3,0,138.9,10.17,12.17,1,4,4.00,0
8,8,2012-11-04,36-225,DEN,@,CIN,W 31-23,*,27,35,77.14,291,3,2,105.8,8.31,7.46,2,-2,-1.00,0
9,9,2012-11-11,36-232,DEN,@,CAR,W 36-14,*,27,38,71.05,301,1,0,103.1,7.92,8.45,3,4,1.33,0
10,10,2012-11-18,36-239,DEN,,SDG,W 30-23,*,25,42,59.52,270,3,1,92.4,6.43,6.79,0,0,,0
11,11,2012-11-25,36-246,DEN,@,KAN,W 17-9,*,22,37,59.46,285,2,1,90.5,7.70,7.57,1,1,1.00,0
12,12,2012-12-02,36-253,DEN,,TAM,W 31-23,*,27,38,71.05,242,3,1,103.2,6.37,6.76,2,-5,-2.50,0
13,13,2012-12-06,36-257,DEN,@,OAK,W 26-13,*,26,36,72.22,310,1,1,95.8,8.61,7.92,3,-3,-1.00,0
14,14,2012-12-16,36-267,DEN,@,BAL,W 34-17,*,17,28,60.71,204,1,0,94.9,7.29,8.00,0,0,,0
15,15,2012-12-23,36-274,DEN,,CLE,W 34-12,*,30,43,69.77,339,3,1,106.6,7.88,8.23,0,0,,0
16,16,2012-12-30,36-281,DEN,,KAN,W 38-3,*,23,29,79.31,304,3,0,144.8,10.48,12.55,0,0,,0
,,16 Games,,,,,13-3-0,,400,583,68.61,4659,37,11,105.8,7.99,8.41,23,6,0.26,0
