
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,36-078,DEN,,PIT,W 31-19,3,2,26,13.00,0,0,0
2,2,2012-09-17,36-086,DEN,@,ATL,L 21-27,6,3,27,9.00,0,0,0
3,3,2012-09-23,36-092,DEN,,HOU,L 25-31,6,6,73,12.17,1,1,6
4,4,2012-09-30,36-099,DEN,,OAK,W 37-6,2,2,32,16.00,0,0,0
5,5,2012-10-07,36-106,DEN,@,NWE,L 21-31,3,2,10,5.00,1,1,6
6,6,2012-10-15,36-114,DEN,@,SDG,W 35-24,4,4,48,12.00,1,1,6
7,7,2012-10-28,36-127,DEN,,NOR,W 34-14,2,2,19,9.50,0,0,0
8,8,2012-11-04,36-134,DEN,@,CIN,W 31-23,4,3,43,14.33,0,0,0
9,9,2012-11-11,36-141,DEN,@,CAR,W 36-14,5,4,54,13.50,1,1,6
10,10,2012-11-18,36-148,DEN,,SDG,W 30-23,5,4,55,13.75,1,1,6
11,11,2012-11-25,36-155,DEN,@,KAN,W 17-9,7,4,62,15.50,0,0,0
12,13,2012-12-06,36-166,DEN,@,OAK,W 26-13,,,,,,,
13,14,2012-12-16,36-176,DEN,@,BAL,W 34-17,2,1,14,14.00,0,0,0
14,15,2012-12-23,36-183,DEN,,CLE,W 34-12,6,5,32,6.40,0,0,0
15,16,2012-12-30,36-190,DEN,,KAN,W 38-3,3,3,49,16.33,0,0,0
,,15 Games,,,,,12-3-0,58,45,544,12.09,5,5,30
