
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-12,24-181,DEN,,OAK,L 20-23,6,3,53,17.67,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,5,128,25.60,1,0,6,0.0,0,0
2,2,2011-09-18,24-187,DEN,,CIN,W 24-22,9,5,113,22.60,2,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,2,12,0.0,0,0
3,3,2011-09-25,24-194,DEN,@,TEN,L 14-17,13,7,48,6.86,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0.0,2,0
4,4,2011-10-02,24-201,DEN,@,GNB,L 23-49,10,5,56,11.20,2,1,1,1.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,2,12,0.0,0,0
5,5,2011-10-09,24-208,DEN,,SDG,L 24-29,5,2,-4,-2.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
6,6,2011-10-23,24-222,DEN,@,MIA,W 18-15,3,2,21,10.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
7,7,2011-10-30,24-229,DEN,,DET,L 10-45,12,6,72,12.00,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,1,6,0.0,0,0
8,8,2011-11-06,24-236,DEN,@,OAK,W 38-24,5,3,47,15.67,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,1,6,0.0,0,0
9,9,2011-11-13,24-243,DEN,@,KAN,W 17-10,3,1,56,56.00,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,1,6,0.0,0,0
10,10,2011-11-17,24-247,DEN,,NYJ,W 17-13,5,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,1,5,5.00,0,0,0,0.0,0,0
11,11,2011-11-27,24-257,DEN,@,SDG,W 16-13,6,3,65,21.67,1,0,0,,0,0,0,,0,0,0,,,,2,50,25.00,0,0,0,,0,1,6,0.0,0,0
12,12,2011-12-04,24-264,DEN,@,MIN,W 35-32,4,2,25,12.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
13,13,2011-12-11,24-271,DEN,,CHI,W 13-10,7,3,33,11.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
14,14,2011-12-18,24-278,DEN,,NWE,L 23-41,2,1,22,22.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
15,15,2011-12-24,24-284,DEN,@,BUF,L 14-40,4,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
16,16,2012-01-01,24-292,DEN,,KAN,L 3-7,2,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,8-8-0,96,44,612,13.91,8,1,1,1.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,2,50,25.00,0,6,133,22.17,1,8,54,0.0,2,0
