
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts
1,2,2011-09-18,24-035,DEN,,CIN,W 24-22,,,,,,,,,,,,,,,,,
2,4,2011-10-02,24-049,DEN,@,GNB,L 23-49,,0,0,,0,0,0,,,,1,-1,-1.00,0,,0,0
3,5,2011-10-09,24-056,DEN,,SDG,L 24-29,,4,10,40.00,79,1,0,101.7,7.90,9.90,6,38,6.33,1,,1,6
4,6,2011-10-23,24-070,DEN,@,MIA,W 18-15,*,13,27,48.15,161,2,0,91.7,5.96,7.44,9,59,6.56,0,1,0,2
5,7,2011-10-30,24-077,DEN,,DET,L 10-45,*,18,39,46.15,172,1,1,56.8,4.41,3.77,10,63,6.30,0,,0,0
6,8,2011-11-06,24-084,DEN,@,OAK,W 38-24,*,10,21,47.62,124,2,0,98.1,5.90,7.81,13,118,9.08,0,,0,0
7,9,2011-11-13,24-091,DEN,@,KAN,W 17-10,*,2,8,25.00,69,1,0,102.6,8.63,11.13,9,43,4.78,1,,1,6
8,10,2011-11-17,24-095,DEN,,NYJ,W 17-13,*,9,20,45.00,104,0,0,61.2,5.20,5.20,8,68,8.50,1,,1,6
9,11,2011-11-27,24-105,DEN,@,SDG,W 16-13,*,9,18,50.00,143,1,0,95.4,7.94,9.06,22,67,3.05,0,,0,0
10,12,2011-12-04,24-112,DEN,@,MIN,W 35-32,*,10,15,66.67,202,2,0,149.3,13.47,16.13,4,13,3.25,0,1,0,2
11,13,2011-12-11,24-119,DEN,,CHI,W 13-10,*,21,40,52.50,237,1,1,68.4,5.93,5.30,12,49,4.08,0,,0,0
12,14,2011-12-18,24-126,DEN,,NWE,L 23-41,*,11,22,50.00,194,0,0,80.5,8.82,8.82,12,93,7.75,2,,2,12
13,15,2011-12-24,24-132,DEN,@,BUF,L 14-40,*,13,29,44.83,185,1,3,37.9,6.38,2.41,10,34,3.40,1,,1,6
14,16,2012-01-01,24-140,DEN,,KAN,L 3-7,*,6,22,27.27,60,0,1,20.6,2.73,0.68,6,16,2.67,0,,0,0
,,14 Games,,,,,8-6-0,,126,271,46.49,1730,12,6,73.0,6.38,6.27,122,660,5.41,6,2,6,40
