
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1,2014-09-08,32-274,SDG,@,ARI,L 17-18,*,21,36,58.33,238,1,1,75.9,6.61,5.92,2,10,5.00,0
2,2,2014-09-14,32-280,SDG,,SEA,W 30-21,*,28,37,75.68,284,3,0,124.2,7.68,9.30,11,17,1.55,0
3,3,2014-09-21,32-287,SDG,@,BUF,W 22-10,*,18,25,72.00,256,2,0,131.4,10.24,11.84,1,9,9.00,0
4,4,2014-09-28,32-294,SDG,,JAX,W 33-14,*,29,39,74.36,377,3,0,130.0,9.67,11.21,1,0,0.00,0
5,5,2014-10-05,32-301,SDG,,NYJ,W 31-0,*,20,28,71.43,288,3,1,125.3,10.29,10.82,2,3,1.50,0
6,6,2014-10-12,32-308,SDG,@,OAK,W 31-28,*,22,34,64.71,313,3,0,123.8,9.21,10.97,5,13,2.60,0
7,7,2014-10-19,32-315,SDG,,KAN,L 20-23,*,17,31,54.84,205,2,1,83.4,6.61,6.45,0,0,,0
8,8,2014-10-23,32-319,SDG,@,DEN,L 21-35,*,30,41,73.17,252,3,2,92.7,6.15,5.41,1,17,17.00,0
9,9,2014-11-02,32-329,SDG,@,MIA,L 0-37,*,12,23,52.17,138,0,3,31.0,6.00,0.13,1,3,3.00,0
10,10,2014-11-16,32-343,SDG,,OAK,W 13-6,*,22,34,64.71,193,1,0,89.5,5.68,6.26,1,-1,-1.00,0
11,11,2014-11-23,32-350,SDG,,STL,W 27-24,*,29,35,82.86,291,1,1,98.9,8.31,7.60,3,-1,-0.33,0
12,12,2014-11-30,32-357,SDG,@,BAL,W 34-33,*,34,45,75.56,383,3,1,113.5,8.51,8.84,4,19,4.75,0
13,13,2014-12-07,32-364,SDG,,NWE,L 14-23,*,20,33,60.61,189,1,1,73.9,5.73,4.97,3,8,2.67,0
14,14,2014-12-14,33-006,SDG,,DEN,L 10-22,*,24,41,58.54,232,1,2,62.2,5.66,3.95,1,3,3.00,0
15,15,2014-12-20,33-012,SDG,@,SFO,W 38-35,*,33,54,61.11,356,4,3,82.0,6.59,5.57,0,0,,0
16,16,2014-12-28,33-020,SDG,@,KAN,L 7-19,*,20,34,58.82,291,0,2,62.3,8.56,5.91,1,2,2.00,0
,,16 Games,,,,,9-7-0,,379,570,66.49,4286,31,18,93.8,7.52,7.19,37,102,2.76,0
