
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,29-277,SDG,,MIN,W 24-17,*,33,48,68.75,335,2,2,85.0,6.98,5.94,3,-3,-1.00,0,0,0,0.0,0,0
2,2,2011-09-18,29-284,SDG,@,NWE,L 21-35,*,29,40,72.50,378,2,2,97.7,9.45,8.20,2,12,6.00,0,0,0,0.0,0,0
3,3,2011-09-25,29-291,SDG,,KAN,W 20-17,*,24,38,63.16,266,0,2,62.0,7.00,4.63,3,-2,-0.67,0,0,0,0.0,0,0
4,4,2011-10-02,29-298,SDG,,MIA,W 26-16,*,21,31,67.74,307,1,0,110.6,9.90,10.55,5,18,3.60,0,0,0,0.0,0,0
5,5,2011-10-09,29-305,SDG,@,DEN,W 29-24,*,18,29,62.07,250,1,1,86.9,8.62,7.76,3,10,3.33,1,1,6,0.0,0,0
6,6,2011-10-23,29-319,SDG,@,NYJ,L 21-27,*,16,32,50.00,179,1,2,51.4,5.59,3.41,1,-1,-1.00,0,0,0,0.0,0,0
7,7,2011-10-31,29-327,SDG,@,KAN,L 20-23,*,26,41,63.41,369,0,2,72.1,9.00,6.80,3,1,0.33,0,0,0,0.0,1,0
8,8,2011-11-06,29-333,SDG,,GNB,L 38-45,*,26,46,56.52,385,4,3,85.9,8.37,7.17,1,-1,-1.00,0,0,0,0.0,0,0
9,9,2011-11-10,29-337,SDG,,OAK,L 17-24,*,23,47,48.94,274,2,1,72.5,5.83,5.72,1,4,4.00,0,0,0,0.0,0,0
10,10,2011-11-20,29-347,SDG,@,CHI,L 20-31,*,21,31,67.74,280,2,2,90.8,9.03,7.42,0,0,,0,0,0,0.0,0,0
11,11,2011-11-27,29-354,SDG,,DEN,L 13-16,*,19,36,52.78,188,1,0,77.1,5.22,5.78,1,1,1.00,0,0,0,0.0,0,0
12,12,2011-12-05,29-362,SDG,@,JAX,W 38-14,*,22,28,78.57,294,3,0,146.1,10.50,12.64,0,0,,0,0,0,0.0,0,0
13,13,2011-12-11,30-003,SDG,,BUF,W 37-10,*,24,33,72.73,240,3,0,123.3,7.27,9.09,0,0,,0,0,0,0.0,0,0
14,14,2011-12-18,30-010,SDG,,BAL,W 34-14,*,17,23,73.91,270,1,0,127.1,11.74,12.61,0,0,,0,0,0,0.0,0,0
15,15,2011-12-24,30-016,SDG,@,DET,L 10-38,*,28,53,52.83,299,1,2,60.2,5.64,4.32,0,0,,0,0,0,0.0,0,0
16,16,2012-01-01,30-024,SDG,@,OAK,W 38-26,*,19,26,73.08,310,3,1,135.1,11.92,12.50,3,-3,-1.00,0,0,0,0.0,0,0
,,16 Games,,,,,8-8-0,,366,582,62.89,4624,27,20,88.7,7.95,7.33,26,36,1.38,1,1,6,0.0,1,0
