
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,28-240,SDG,,MIN,W 24-17,3,2,31,15.50,0,0,0,,0,0,0,0.0,0,0
2,2,2011-09-18,28-247,SDG,@,NWE,L 21-35,15,10,172,17.20,2,0,0,,0,2,12,0.0,0,0
3,3,2011-09-25,28-254,SDG,,KAN,W 20-17,8,5,63,12.60,0,1,1,1.00,0,0,0,0.0,0,0
4,4,2011-10-02,28-261,SDG,,MIA,W 26-16,4,3,108,36.00,1,0,0,,0,1,6,0.0,0,0
5,5,2011-10-09,28-268,SDG,@,DEN,W 29-24,6,3,34,11.33,0,0,0,,0,0,0,0.0,0,0
6,6,2011-10-23,28-282,SDG,@,NYJ,L 21-27,8,1,15,15.00,0,0,0,,0,0,0,0.0,1,0
7,7,2011-10-31,28-290,SDG,@,KAN,L 20-23,8,3,49,16.33,0,0,0,,0,0,0,0.0,1,0
8,8,2011-11-06,28-296,SDG,,GNB,L 38-45,12,7,141,20.14,3,0,0,,0,3,18,0.0,0,0
9,9,2011-11-10,28-300,SDG,,OAK,L 17-24,7,1,22,22.00,0,0,0,,0,0,0,0.0,0,0
10,10,2011-11-20,28-310,SDG,@,CHI,L 20-31,9,7,165,23.57,1,0,0,,0,1,6,0.0,1,0
11,11,2011-11-27,28-317,SDG,,DEN,L 13-16,3,2,25,12.50,0,0,0,,0,0,0,0.0,0,0
12,12,2011-12-05,28-325,SDG,@,JAX,W 38-14,5,4,72,18.00,1,0,0,,0,1,6,0.0,0,0
13,13,2011-12-11,28-331,SDG,,BUF,W 37-10,9,5,55,11.00,0,0,0,,0,0,0,0.0,0,0
14,14,2011-12-18,28-338,SDG,,BAL,W 34-14,6,3,84,28.00,0,1,9,9.00,0,0,0,0.0,0,0
15,15,2011-12-24,28-344,SDG,@,DET,L 10-38,7,2,41,20.50,0,0,0,,0,0,0,0.0,0,0
16,16,2012-01-01,28-352,SDG,@,OAK,W 38-26,5,2,29,14.50,1,1,41,41.00,0,1,6,0.0,1,0
,,16 Games,,,,,8-8-0,115,60,1106,18.43,9,3,51,17.00,0,9,54,0.0,4,0
