
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2014-09-08,34-082,SDG,@,ARI,L 17-18,10,6,81,13.50,0,0,0
2,2,2014-09-14,34-088,SDG,,SEA,W 30-21,7,7,96,13.71,3,3,18
3,3,2014-09-21,34-095,SDG,@,BUF,W 22-10,1,1,8,8.00,0,0,0
4,4,2014-09-28,34-102,SDG,,JAX,W 33-14,5,3,30,10.00,0,0,0
5,5,2014-10-05,34-109,SDG,,NYJ,W 31-0,6,4,60,15.00,2,2,12
6,6,2014-10-12,34-116,SDG,@,OAK,W 31-28,8,3,27,9.00,1,1,6
7,7,2014-10-19,34-123,SDG,,KAN,L 20-23,5,3,61,20.33,1,1,6
8,8,2014-10-23,34-127,SDG,@,DEN,L 21-35,8,5,54,10.80,2,2,12
9,9,2014-11-02,34-137,SDG,@,MIA,L 0-37,5,3,28,9.33,0,0,0
10,10,2014-11-16,34-151,SDG,,OAK,W 13-6,3,3,32,10.67,0,0,0
11,11,2014-11-23,34-158,SDG,,STL,W 27-24,2,2,14,7.00,0,0,0
12,12,2014-11-30,34-165,SDG,@,BAL,W 34-33,8,7,83,11.86,0,0,0
13,13,2014-12-07,34-172,SDG,,NWE,L 14-23,8,5,34,6.80,0,0,0
14,14,2014-12-14,34-179,SDG,,DEN,L 10-22,7,6,54,9.00,1,1,6
15,15,2014-12-20,34-185,SDG,@,SFO,W 38-35,9,7,92,13.14,2,2,12
16,16,2014-12-28,34-193,SDG,@,KAN,L 7-19,6,4,67,16.75,0,0,0
,,16 Games,,,,,9-7-0,98,69,821,11.90,12,12,72
