
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-10,31-002,SDG,@,OAK,W 22-14,6,4,66,16.50,1,1,6
2,2,2012-09-16,31-008,SDG,,TEN,W 38-10,8,6,109,18.17,0,0,0
3,3,2012-09-23,31-015,SDG,,ATL,L 3-27,9,3,52,17.33,0,0,0
4,4,2012-09-30,31-022,SDG,@,KAN,W 37-20,3,2,23,11.50,0,0,0
5,5,2012-10-07,31-029,SDG,@,NOR,L 24-31,8,5,108,21.60,0,0,0
6,6,2012-10-15,31-037,SDG,,DEN,L 24-35,5,5,60,12.00,0,0,0
7,7,2012-10-28,31-050,SDG,@,CLE,L 6-7,7,4,43,10.75,0,0,0
8,8,2012-11-01,31-054,SDG,,KAN,W 31-13,4,4,48,12.00,1,1,6
9,9,2012-11-11,31-064,SDG,@,TAM,L 24-34,7,6,63,10.50,1,1,6
10,10,2012-11-18,31-071,SDG,@,DEN,L 23-30,6,4,67,16.75,0,0,0
11,11,2012-11-25,31-078,SDG,,BAL,L 13-16,5,4,65,16.25,1,1,6
12,12,2012-12-02,31-085,SDG,,CIN,L 13-20,7,4,61,15.25,0,0,0
13,13,2012-12-09,31-092,SDG,@,PIT,W 34-24,8,3,10,3.33,1,1,6
14,14,2012-12-16,31-099,SDG,,CAR,L 7-31,2,2,39,19.50,0,0,0
,,14 Games,,,,,5-9-0,85,56,814,14.54,5,5,30
