
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-08,28-110,SDG,@,ARI,L 17-18,6,1,20,20.00,0,2,-1,-0.50,0,2,17,8.50,0,0,0,0.0,0,0
2,2,2014-09-14,28-116,SDG,,SEA,W 30-21,10,7,69,9.86,0,0,0,,0,1,6,6.00,0,0,0,0.0,0,0
3,3,2014-09-21,28-123,SDG,@,BUF,W 22-10,6,4,42,10.50,2,0,0,,0,3,6,2.00,0,2,12,0.0,0,0
4,4,2014-09-28,28-130,SDG,,JAX,W 33-14,7,5,105,21.00,2,0,0,,0,1,2,2.00,0,2,12,0.0,0,0
5,5,2014-10-05,28-137,SDG,,NYJ,W 31-0,3,3,40,13.33,0,0,0,,0,1,2,2.00,0,0,0,0.0,0,0
6,6,2014-10-12,28-144,SDG,@,OAK,W 31-28,2,2,49,24.50,1,0,0,,0,0,0,,0,1,6,0.0,0,0
7,7,2014-10-19,28-151,SDG,,KAN,L 20-23,5,1,20,20.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
8,8,2014-10-23,28-155,SDG,@,DEN,L 21-35,3,3,29,9.67,0,0,0,,0,0,0,,0,0,0,0.0,0,0
9,9,2014-11-02,28-165,SDG,@,MIA,L 0-37,1,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
10,10,2014-11-16,28-179,SDG,,OAK,W 13-6,3,2,27,13.50,0,1,15,15.00,0,0,0,,0,0,0,0.0,0,0
11,11,2014-11-23,28-186,SDG,,STL,W 27-24,6,6,50,8.33,0,0,0,,0,0,0,,0,0,0,0.0,1,0
12,12,2014-11-30,28-193,SDG,@,BAL,W 34-33,10,9,81,9.00,1,0,0,,0,0,0,,0,1,6,0.0,0,0
13,13,2014-12-07,28-200,SDG,,NWE,L 14-23,5,2,30,15.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
14,14,2014-12-14,28-207,SDG,,DEN,L 10-22,4,3,27,9.00,0,0,0,,0,1,58,58.00,0,0,0,0.0,0,0
15,15,2014-12-20,28-213,SDG,@,SFO,W 38-35,12,10,94,9.40,1,0,0,,0,0,0,,0,1,6,0.0,0,0
16,16,2014-12-28,28-221,SDG,@,KAN,L 7-19,8,4,95,23.75,0,0,0,,0,2,9,4.50,0,0,0,0.0,1,0
,,16 Games,,,,,9-7-0,91,62,778,12.55,7,3,14,4.67,0,11,100,9.09,0,7,42,0.0,2,0
