
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts
1,7,2014-10-20,22-304,PIT,,HOU,W 30-23,5,2,40,20.00,1,0,0,,0,1,6
2,8,2014-10-26,22-310,PIT,,IND,W 51-34,7,5,83,16.60,2,0,0,,0,2,12
3,9,2014-11-02,22-317,PIT,,BAL,W 43-23,5,3,44,14.67,2,1,3,3.00,0,2,12
4,10,2014-11-09,22-324,PIT,@,NYJ,L 13-20,7,4,143,35.75,1,0,0,,0,1,6
5,11,2014-11-17,22-332,PIT,@,TEN,W 27-24,5,2,11,5.50,0,0,0,,0,0,0
6,12,2014-11-30,22-345,PIT,,NOR,L 32-35,4,1,23,23.00,0,0,0,,0,0,0
7,13,2014-12-07,22-352,PIT,@,CIN,W 42-21,6,4,109,27.25,1,0,0,,0,1,6
8,14,2014-12-14,22-359,PIT,@,ATL,W 27-20,5,3,31,10.33,0,0,0,,0,0,0
9,15,2014-12-21,23-001,PIT,,KAN,W 20-12,2,1,44,44.00,0,2,9,4.50,0,0,0
10,16,2014-12-28,23-008,PIT,,CIN,W 27-17,2,1,21,21.00,1,0,0,,0,1,6
,,10 Games,,,,,8-2-0,48,26,549,21.12,8,3,12,4.00,0,8,48
