
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,25-041,PIT,@,BAL,L 7-35,11,8,107,13.38,0,0,0,,0,0,0,0.0,0,0
2,2,2011-09-18,25-048,PIT,,SEA,W 24-0,9,8,126,15.75,1,0,0,,0,1,6,0.0,0,0
3,3,2011-09-25,25-055,PIT,@,IND,W 23-20,7,5,144,28.80,1,0,0,,0,1,6,0.0,0,0
4,4,2011-10-02,25-062,PIT,@,HOU,L 10-17,4,4,77,19.25,0,0,0,,0,0,0,0.0,0,0
5,5,2011-10-09,25-069,PIT,,TEN,W 38-17,7,6,82,13.67,1,1,8,8.00,0,1,6,0.0,1,0
6,6,2011-10-16,25-076,PIT,,JAX,W 17-13,6,2,76,38.00,1,0,0,,0,1,6,0.0,0,0
7,7,2011-10-23,25-083,PIT,@,ARI,W 32-20,7,3,118,39.33,1,0,0,,0,1,6,0.0,0,0
8,8,2011-10-30,25-090,PIT,,NWE,W 25-17,7,7,70,10.00,0,0,0,,0,0,0,0.0,0,0
9,9,2011-11-06,25-097,PIT,,BAL,L 20-23,6,4,68,17.00,1,0,0,,0,1,6,0.0,0,0
10,10,2011-11-13,25-104,PIT,@,CIN,W 24-17,10,6,54,9.00,0,2,31,15.50,0,0,0,0.0,0,0
11,11,2011-11-27,25-118,PIT,@,KAN,W 13-9,6,2,17,8.50,0,0,0,,0,0,0,0.0,0,0
12,12,2011-12-04,25-125,PIT,,CIN,W 35-7,5,3,38,12.67,2,1,-3,-3.00,0,2,12,0.0,0,0
13,13,2011-12-08,25-129,PIT,,CLE,W 14-3,5,4,57,14.25,0,1,21,21.00,0,0,0,0.0,0,0
14,14,2011-12-19,25-140,PIT,@,SFO,L 3-20,12,5,66,13.20,0,0,0,,0,0,0,0.0,1,0
15,15,2011-12-24,25-145,PIT,,STL,W 27-0,7,4,82,20.50,0,0,0,,0,0,0,0.0,0,0
16,16,2012-01-01,25-153,PIT,@,CLE,W 13-9,5,1,11,11.00,0,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,12-4-0,114,72,1193,16.57,8,5,57,11.40,0,8,48,0.0,2,0
