
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts
1,1,2012-09-09,26-039,PIT,@,DEN,L 19-31,6,4,37,9.25,1,0,0,,0,1,6
2,2,2012-09-16,26-046,PIT,,NYJ,W 27-10,5,5,74,14.80,1,0,0,,0,1,6
3,3,2012-09-23,26-053,PIT,@,OAK,L 31-34,11,8,123,15.38,1,1,1,1.00,0,1,6
4,4,2012-10-07,26-067,PIT,,PHI,W 16-14,8,2,17,8.50,0,0,0,,0,0,0
5,5,2012-10-11,26-071,PIT,@,TEN,L 23-26,4,2,94,47.00,1,0,0,,0,1,6
6,6,2012-10-21,26-081,PIT,@,CIN,W 24-17,15,8,52,6.50,0,2,7,3.50,0,0,0
7,7,2012-10-28,26-088,PIT,,WAS,W 27-12,9,7,62,8.86,0,0,0,,0,0,0
8,8,2012-11-04,26-095,PIT,@,NYG,W 24-20,5,3,66,22.00,1,0,0,,0,1,6
9,9,2012-11-12,26-103,PIT,,KAN,W 16-13,8,3,14,4.67,1,0,0,,0,1,6
10,10,2012-11-18,26-109,PIT,,BAL,L 10-13,7,4,24,6.00,0,0,0,,0,0,0
11,11,2012-11-25,26-116,PIT,@,CLE,L 14-20,7,1,9,9.00,0,0,0,,0,0,0
12,12,2012-12-02,26-123,PIT,@,BAL,W 23-20,8,5,44,8.80,0,0,0,,0,0,0
13,13,2012-12-09,26-130,PIT,,SDG,L 24-34,11,7,112,16.00,2,1,0,0.00,0,2,12
14,14,2012-12-16,26-137,PIT,@,DAL,L 24-27,10,4,95,23.75,0,0,0,,0,0,0
15,15,2012-12-23,26-144,PIT,,CIN,L 10-13,5,1,13,13.00,0,1,-1,-1.00,0,0,0
,,15 Games,,,,,7-8-0,119,64,836,13.06,8,5,7,1.40,0,8,48
