
No.,,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
7,Ben Roethlisberger,30,QB,13,13,7-6-0,284,449,63.3,3265,26,5.8,8,1.8,82,7.3,7.6,11.5,251.2,97.0,62.8,30,182,6.44,6.77,6.3,2,3
16,Charlie Batch,38,qb,2,2,1-1-0,45,70,64.3,475,1,1.4,4,5.7,43,6.8,4.5,10.6,237.5,64.9,39.17,3,12,6.34,4.15,4.1,1,1
4,Byron Leftwich,32,qb,2,1,0-1-0,25,53,47.2,272,0,0.0,1,1.9,37,5.1,4.3,10.9,136.0,54.9,42.91,3,24,4.43,3.63,5.4,0,0
84,Antonio Brown,24,WR,13,10,,0,2,0.0,0,0,0.0,1,50.0,0,0.0,-22.5,,0.0,0.0,0,0,0,0.00,-22.50,0.0,,
88,Emmanuel Sanders,25,wr,16,7,,0,0,,0,0,,0,,0,,,,0.0,,0.01,1,7,-7.00,-7.00,100.0,,
,Team Total,26.4,,16,,8-8-0,354,574,61.7,4012,27,4.7,14,2.4,82,7.0,6.8,11.3,250.8,88.1,,37,225,6.20,6.05,6.1,3,4
,Opp Total,,,16,,,299,523,57.2,3159,19,3.6,10,1.9,,6.0,5.91,10.6,197.4,79.0,,37,196,5.3,5.2,6.6,,
