
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,25-216,ATL,,NOR,W 37-34,9,7,116,16.57,0,0,0,,0,0,0,0.0,0,0
2,2,2014-09-14,25-223,ATL,@,CIN,L 10-24,13,7,88,12.57,1,0,0,,0,1,6,0.0,0,0
3,3,2014-09-18,25-227,ATL,,TAM,W 56-14,11,9,161,17.89,2,0,0,,0,2,12,0.0,0,0
4,4,2014-09-28,25-237,ATL,@,MIN,L 28-41,8,6,82,13.67,0,0,0,,0,0,0,0.0,0,0
5,5,2014-10-05,25-244,ATL,@,NYG,L 20-30,16,11,105,9.55,0,0,0,,0,0,0,0.0,0,0
6,6,2014-10-12,25-251,ATL,,CHI,L 13-27,12,4,68,17.00,0,1,1,1.00,0,0,0,0.0,1,0
7,7,2014-10-19,25-258,ATL,@,BAL,L 7-29,8,5,56,11.20,0,0,0,,0,0,0,0.0,0,0
8,8,2014-10-26,25-265,ATL,,DET,L 21-22,6,4,58,14.50,0,0,0,,0,0,0,0.0,1,0
9,9,2014-11-09,25-279,ATL,@,TAM,W 27-17,11,8,119,14.88,0,0,0,,0,0,0,0.0,0,0
10,10,2014-11-16,25-286,ATL,@,CAR,W 19-17,11,6,59,9.83,0,0,0,,0,0,0,0.0,0,0
11,11,2014-11-23,25-293,ATL,,CLE,L 24-26,13,5,68,13.60,1,0,0,,0,1,6,0.0,1,0
12,12,2014-11-30,25-300,ATL,,ARI,W 29-18,12,10,189,18.90,1,0,0,,0,1,6,0.0,0,0
13,13,2014-12-08,25-308,ATL,@,GNB,L 37-43,17,11,259,23.55,1,0,0,,0,1,6,0.0,0,0
14,15,2014-12-21,25-321,ATL,@,NOR,W 30-14,8,7,107,15.29,0,0,0,,0,0,0,0.0,0,0
15,16,2014-12-28,25-328,ATL,,CAR,L 3-34,8,4,58,14.50,0,0,0,,0,0,0,0.0,0,0
,,15 Games,,,,,6-9-0,163,104,1593,15.32,6,1,1,1.00,0,6,36,0.0,3,0
