
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,29-313,ATL,@,CHI,L 12-30,13,8,61,7.63,0,0,0,0.0,0,0
2,2,2011-09-18,29-320,ATL,,PHI,W 35-31,4,3,23,7.67,1,1,6,0.0,0,0
3,3,2011-09-25,29-327,ATL,@,TAM,L 13-16,17,9,140,15.56,0,0,0,0.0,1,0
4,4,2011-10-02,29-334,ATL,@,SEA,W 30-28,11,6,78,13.00,0,0,0,0.0,0,0
5,5,2011-10-09,29-341,ATL,,GNB,L 14-25,9,6,50,8.33,1,1,6,0.0,0,0
6,6,2011-10-16,29-348,ATL,,CAR,W 31-17,5,2,21,10.50,0,0,0,0.0,0,0
7,7,2011-10-23,29-355,ATL,@,DET,W 23-16,10,5,52,10.40,1,1,6,0.0,0,0
8,8,2011-11-06,30-004,ATL,@,IND,W 31-7,9,4,76,19.00,0,0,0,0.0,0,0
9,9,2011-11-13,30-011,ATL,,NOR,L 23-26,7,4,62,15.50,0,0,0,0.0,0,0
10,10,2011-11-20,30-018,ATL,,TEN,W 23-17,14,7,147,21.00,0,0,0,0.0,0,0
11,11,2011-11-27,30-025,ATL,,MIN,W 24-14,13,10,120,12.00,1,1,6,0.0,0,0
12,12,2011-12-04,30-032,ATL,@,HOU,L 10-17,16,4,51,12.75,1,1,6,0.0,1,0
13,13,2011-12-11,30-039,ATL,@,CAR,W 31-23,11,7,84,12.00,1,1,6,0.0,0,0
14,14,2011-12-15,30-043,ATL,,JAX,W 41-14,16,10,135,13.50,2,2,12,0.0,0,0
15,15,2011-12-26,30-054,ATL,@,NOR,L 16-45,16,11,127,11.55,0,0,0,0.0,0,0
16,16,2012-01-01,30-060,ATL,,TAM,W 45-24,9,4,69,17.25,0,0,0,0.0,0,0
,,16 Games,,,,,10-6-0,180,100,1296,12.96,8,8,48,0.0,2,0
