
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2011-09-11,29-210,ATL,@,CHI,L 12-30,10,100,10.00,0,4,3,40,13.33,0,0,0
2,2,2011-09-18,29-217,ATL,,PHI,W 35-31,21,114,5.43,1,1,1,32,32.00,0,1,6
3,3,2011-09-25,29-224,ATL,@,TAM,L 13-16,11,20,1.82,0,0,0,0,,0,0,0
4,4,2011-10-02,29-231,ATL,@,SEA,W 30-28,26,70,2.69,2,2,2,18,9.00,0,2,12
5,5,2011-10-09,29-238,ATL,,GNB,L 14-25,16,56,3.50,1,0,0,0,,0,1,6
6,6,2011-10-16,29-245,ATL,,CAR,W 31-17,27,139,5.15,2,3,1,8,8.00,0,2,12
7,7,2011-10-23,29-252,ATL,@,DET,W 23-16,27,122,4.52,0,1,0,0,,0,0,0
8,8,2011-11-06,29-266,ATL,@,IND,W 31-7,19,71,3.74,1,2,1,7,7.00,0,1,6
9,9,2011-11-13,29-273,ATL,,NOR,L 23-26,22,96,4.36,0,2,1,10,10.00,0,0,0
10,10,2011-11-20,29-280,ATL,,TEN,W 23-17,21,100,4.76,1,2,1,9,9.00,0,1,6
11,11,2011-11-27,29-287,ATL,,MIN,W 24-14,19,60,3.16,0,1,1,4,4.00,0,0,0
12,12,2011-12-04,29-294,ATL,@,HOU,L 10-17,14,44,3.14,0,0,0,0,,0,0,0
13,13,2011-12-11,29-301,ATL,@,CAR,W 31-23,21,76,3.62,0,1,0,0,,0,0,0
14,14,2011-12-15,29-305,ATL,,JAX,W 41-14,19,61,3.21,1,2,2,4,2.00,0,1,6
15,15,2011-12-26,29-316,ATL,@,NOR,L 16-45,11,39,3.55,0,4,4,36,9.00,0,0,0
16,16,2012-01-01,29-322,ATL,,TAM,W 45-24,17,172,10.12,2,1,0,0,,0,2,12
,,16 Games,,,,,10-6-0,301,1340,4.45,11,26,17,168,9.88,0,11,66
