
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,23-214,ATL,@,NOR,L 17-23,2,-1,-0.50,0,1,1,3,3.00,0,0,0,,0,0,0,0.0,0,0
2,2,2013-09-15,23-221,ATL,,STL,W 31-24,11,17,1.55,0,4,4,28,7.00,0,1,17,17.00,0,0,0,0.0,0,0
3,3,2013-09-22,23-228,ATL,@,MIA,L 23-27,18,86,4.78,0,3,2,7,3.50,0,0,0,,0,0,0,0.0,0,0
4,4,2013-09-29,23-235,ATL,,NWE,L 23-30,7,32,4.57,0,6,6,56,9.33,0,1,29,29.00,0,0,0,0.0,0,0
5,5,2013-10-07,23-243,ATL,,NYJ,L 28-30,14,43,3.07,2,4,4,15,3.75,0,1,23,23.00,0,2,12,0.0,0,0
6,6,2013-10-20,23-256,ATL,,TAM,W 31-23,8,16,2.00,0,9,8,46,5.75,2,1,21,21.00,0,2,12,0.0,1,0
7,7,2013-10-27,23-263,ATL,@,ARI,L 13-27,2,8,4.00,0,6,2,11,5.50,0,2,54,27.00,0,0,0,0.0,0,0
8,8,2013-11-03,23-270,ATL,@,CAR,L 10-34,5,19,3.80,0,6,6,25,4.17,0,2,59,29.50,0,0,0,0.0,0,0
9,9,2013-11-10,23-277,ATL,,SEA,L 10-33,3,31,10.33,0,7,5,28,5.60,0,3,64,21.33,0,0,0,0.0,0,0
10,10,2013-11-17,23-284,ATL,@,TAM,L 28-41,6,22,3.67,0,2,1,8,8.00,0,0,0,,0,0,0,0.0,0,0
11,11,2013-11-21,23-288,ATL,,NOR,L 13-17,3,7,2.33,0,3,2,31,15.50,0,0,0,,0,0,0,0.0,0,0
12,12,2013-12-01,23-298,ATL,@,BUF,W 34-31,4,12,3.00,0,1,1,11,11.00,0,3,54,18.00,0,0,0,0.0,0,0
13,13,2013-12-08,23-305,ATL,@,GNB,L 21-22,6,13,2.17,0,4,3,33,11.00,0,6,126,21.00,0,0,0,0.0,1,0
14,14,2013-12-15,23-312,ATL,,WAS,W 27-26,4,17,4.25,0,4,4,24,6.00,0,3,78,26.00,0,0,0,0.0,0,1
15,15,2013-12-23,23-320,ATL,@,SFO,L 24-34,3,10,3.33,0,3,3,15,5.00,0,2,50,25.00,0,0,0,0.0,0,0
,,15 Games,,,,,4-11-0,96,332,3.46,2,63,52,341,6.56,2,25,575,23.00,0,4,24,0.0,2,1
