
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1,2014-09-07,29-113,ATL,,NOR,W 37-34,*,31,43,72.09,448,3,0,128.8,10.42,11.81,3,15,5.00,0
2,2,2014-09-14,29-120,ATL,@,CIN,L 10-24,*,24,44,54.55,231,1,3,48.6,5.25,2.64,3,28,9.33,0
3,3,2014-09-18,29-124,ATL,,TAM,W 56-14,*,21,24,87.50,286,3,0,155.9,11.92,14.42,1,2,2.00,0
4,4,2014-09-28,29-134,ATL,@,MIN,L 28-41,*,25,41,60.98,298,3,2,87.2,7.27,6.54,2,2,1.00,0
5,5,2014-10-05,29-141,ATL,@,NYG,L 20-30,*,29,45,64.44,316,1,1,83.2,7.02,6.47,0,0,,0
6,6,2014-10-12,29-148,ATL,,CHI,L 13-27,*,19,37,51.35,271,1,1,73.1,7.32,6.65,1,-1,-1.00,0
7,7,2014-10-19,29-155,ATL,@,BAL,L 7-29,*,29,44,65.91,228,1,0,86.2,5.18,5.64,1,7,7.00,0
8,8,2014-10-26,29-162,ATL,,DET,L 21-22,*,20,27,74.07,228,2,1,108.3,8.44,8.26,1,6,6.00,0
9,9,2014-11-09,29-176,ATL,@,TAM,W 27-17,*,20,31,64.52,219,1,0,96.0,7.06,7.71,3,9,3.00,0
10,10,2014-11-16,29-183,ATL,@,CAR,W 19-17,*,31,45,68.89,268,1,0,91.7,5.96,6.40,1,4,4.00,0
11,11,2014-11-23,29-190,ATL,,CLE,L 24-26,*,27,43,62.79,273,2,1,86.7,6.35,6.23,2,6,3.00,0
12,12,2014-11-30,29-197,ATL,,ARI,W 29-18,*,30,41,73.17,361,2,1,105.8,8.80,8.68,3,4,1.33,0
13,13,2014-12-08,29-205,ATL,@,GNB,L 37-43,*,24,39,61.54,375,4,1,116.9,9.62,10.51,2,23,11.50,0
14,14,2014-12-14,29-211,ATL,,PIT,L 20-27,*,26,37,70.27,310,2,1,102.3,8.38,8.24,3,27,9.00,0
15,15,2014-12-21,29-218,ATL,@,NOR,W 30-14,*,30,40,75.00,322,1,0,106.5,8.05,8.55,2,7,3.50,0
16,16,2014-12-28,29-225,ATL,,CAR,L 3-34,*,29,47,61.70,260,0,2,58.8,5.53,3.62,1,6,6.00,0
,,16 Games,,,,,6-10-0,,415,628,66.08,4694,28,14,93.9,7.47,7.36,29,145,5.00,0
