
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,36-195,ATL,@,KAN,W 40-24,6,5,53,10.60,1,1,6
2,2,2012-09-17,36-203,ATL,,DEN,W 27-21,10,7,70,10.00,1,1,6
3,3,2012-09-23,36-209,ATL,@,SDG,W 27-3,12,9,91,10.11,1,1,6
4,4,2012-09-30,36-216,ATL,,CAR,W 30-28,5,5,51,10.20,0,0,0
5,5,2012-10-07,36-223,ATL,@,WAS,W 24-17,14,13,123,9.46,1,1,6
6,6,2012-10-14,36-230,ATL,,OAK,W 23-20,7,4,42,10.50,0,0,0
7,7,2012-10-28,36-244,ATL,@,PHI,W 30-17,5,3,29,9.67,0,0,0
8,8,2012-11-04,36-251,ATL,,DAL,W 19-13,5,4,36,9.00,0,0,0
9,9,2012-11-11,36-258,ATL,@,NOR,L 27-31,15,11,122,11.09,2,2,12
10,10,2012-11-18,36-265,ATL,,ARI,W 23-19,8,3,33,11.00,0,0,0
11,11,2012-11-25,36-272,ATL,@,TAM,W 24-23,5,5,62,12.40,0,0,0
12,12,2012-11-29,36-276,ATL,,NOR,W 23-13,5,4,58,14.50,1,1,6
13,13,2012-12-09,36-286,ATL,@,CAR,L 20-30,9,8,61,7.63,0,0,0
14,14,2012-12-16,36-293,ATL,,NYG,W 34-0,7,6,49,8.17,1,1,6
15,15,2012-12-22,36-299,ATL,@,DET,W 31-18,2,1,9,9.00,0,0,0
16,16,2012-12-30,36-307,ATL,,TAM,L 17-22,9,5,41,8.20,0,0,0
,,16 Games,,,,,13-3-0,124,93,930,10.00,8,8,48
