
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2011-09-11,23-108,TEN,@,JAX,L 14-16,2,1,5,5.00,0,0,0
2,3,2011-09-25,23-122,TEN,,DEN,W 17-14,3,1,19,19.00,0,0,0
3,4,2011-10-02,23-129,TEN,@,CLE,W 31-13,4,1,4,4.00,1,1,6
4,5,2011-10-09,23-136,TEN,@,PIT,L 17-38,11,6,66,11.00,1,1,6
5,6,2011-10-23,23-150,TEN,,HOU,L 7-41,4,1,5,5.00,0,0,0
6,7,2011-10-30,23-157,TEN,,IND,W 27-10,5,4,60,15.00,0,0,0
7,8,2011-11-06,23-164,TEN,,CIN,L 17-24,7,4,34,8.50,1,1,6
8,9,2011-11-13,23-171,TEN,@,CAR,W 30-3,7,5,107,21.40,1,1,6
9,10,2011-11-20,23-178,TEN,@,ATL,L 17-23,11,1,16,16.00,0,0,0
10,11,2011-11-27,23-185,TEN,,TAM,W 23-17,4,3,33,11.00,1,1,6
11,12,2011-12-04,23-192,TEN,@,BUF,W 23-17,7,4,62,15.50,0,0,0
12,13,2011-12-11,23-199,TEN,,NOR,L 17-22,10,2,62,31.00,0,0,0
13,14,2011-12-18,23-206,TEN,@,IND,L 13-27,6,2,15,7.50,0,0,0
14,15,2011-12-24,23-212,TEN,,JAX,W 23-17,11,8,83,10.38,0,0,0
15,16,2012-01-01,23-220,TEN,@,HOU,W 23-22,2,2,21,10.50,0,0,0
,,15 Games,,,,,8-7-0,94,45,592,13.16,5,5,30
