
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,29-012,TEN,,NWE,L 13-34,8,2,53,26.50,1,1,6
2,2,2012-09-16,29-019,TEN,@,SDG,L 10-38,2,2,20,10.00,0,0,0
3,3,2012-09-23,29-026,TEN,,DET,W 44-41,3,3,112,37.33,1,1,6
4,4,2012-09-30,29-033,TEN,@,HOU,L 14-38,5,3,43,14.33,0,0,0
5,5,2012-10-07,29-040,TEN,@,MIN,L 7-30,7,4,46,11.50,0,0,0
6,6,2012-10-11,29-044,TEN,,PIT,W 26-23,10,3,57,19.00,0,0,0
7,7,2012-10-21,29-054,TEN,@,BUF,W 35-34,8,6,43,7.17,1,1,6
8,8,2012-10-28,29-061,TEN,,IND,L 13-19,6,5,69,13.80,0,0,0
9,9,2012-11-04,29-068,TEN,,CHI,L 20-51,2,2,35,17.50,1,1,6
10,10,2012-11-11,29-075,TEN,@,MIA,W 37-3,2,1,5,5.00,0,0,0
11,11,2012-11-25,29-089,TEN,@,JAX,L 19-24,9,4,54,13.50,0,0,0
12,12,2012-12-02,29-096,TEN,,HOU,L 10-24,6,3,96,32.00,0,0,0
13,13,2012-12-09,29-103,TEN,@,IND,L 23-27,7,1,15,15.00,0,0,0
14,14,2012-12-17,29-111,TEN,,NYJ,W 14-10,6,4,62,15.50,0,0,0
15,15,2012-12-23,29-117,TEN,@,GNB,L 7-55,6,2,15,7.50,0,0,0
16,16,2012-12-30,29-124,TEN,,JAX,W 38-20,2,1,21,21.00,0,0,0
,,16 Games,,,,,6-10-0,89,46,746,16.22,4,4,24
