
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,4,2014-09-28,32-053,TEN,@,IND,L 17-41,*,12,23,52.17,177,1,1,74.0,7.70,6.61,5,40,8.00,0,0,0,0,,0
2,5,2014-10-05,32-060,TEN,,CLE,L 28-29,,13,21,61.90,194,2,0,123.9,9.24,11.14,2,-1,-0.50,0,0,0,0,,0
3,6,2014-10-12,32-067,TEN,,JAX,W 16-14,*,17,28,60.71,233,0,0,87.4,8.32,8.32,2,1,0.50,0,0,0,0,,0
4,7,2014-10-19,32-074,TEN,@,WAS,L 17-19,*,17,26,65.38,160,2,1,91.8,6.15,5.96,2,10,5.00,0,0,0,0,,0
5,14,2014-12-14,32-130,TEN,,NYJ,L 11-16,,10,24,41.67,203,0,0,72.0,8.46,8.46,2,9,4.50,0,0,0,10,,0
6,15,2014-12-18,32-134,TEN,@,JAX,L 13-21,*,24,35,68.57,287,1,0,102.9,8.20,8.77,3,12,4.00,0,0,0,0,,0
7,16,2014-12-28,32-144,TEN,,IND,L 10-27,*,12,28,42.86,72,1,0,62.2,2.57,3.29,4,19,4.75,0,0,0,0,,0
,,7 Games,,,,,1-6-0,,105,185,56.76,1326,7,2,87.4,7.17,7.44,20,90,4.50,0,0,0,10,,0
